Timestamp  | Machine 0 (5 ticks/s)  | Machine 1 (2 ticks/s)  | Machine 2 (1 ticks/s) 
-------------------------------------------------------------------------------------------
12:00:29   | 1                      | 1                      | 1                     
12:00:30   | 6                      | 3                      | 2                     
12:00:31   | 11                     | 5                      | 3                     
12:00:32   | 16                     | 7                      | 14                    
12:00:33   | 20                     | 9                      | 15                    
12:00:34   | 25                     | 11                     | 16                    
12:00:35   | 30                     | 13                     | 17                    
12:00:36   | 35                     | 15                     | 18                    
12:00:37   | 40                     | 39                     | 38                    
12:00:38   | 45                     | 41                     | 39                    
12:00:39   | 50                     | 42                     | 40                    
12:00:40   | 55                     | 44                     | 41                    
12:00:41   | 60                     | 46                     | 42                    
12:00:42   | 65                     | 48                     | 43                    
12:00:43   | 70                     | 50                     | 44                    
12:00:44   | 75                     | 52                     | 45                    
12:00:45   | 80                     | 54                     | 46                    
12:00:46   | 84                     | 56                     |                       
12:00:47   | 89                     | 85                     | 47                    
12:00:48   | 94                     | 87                     | 48                    
12:00:49   | 99                     | 89                     | 49                    
12:00:50   | 104                    | 91                     | 50                    
12:00:51   | 109                    | 93                     | 51                    
12:00:52   | 114                    | 95                     | 93                    
12:00:53   | 119                    | 116                    | 94                    
12:00:54   | 124                    | 118                    | 95                    
12:00:55   | 129                    | 120                    | 96                    
12:00:56   | 134                    | 122                    | 97                    
12:00:57   | 139                    | 124                    | 98                    
12:00:58   | 143                    | 126                    | 99                    
12:00:59   | 148                    | 128                    | 100                   
12:01:00   | 153                    | 130                    | 101                   
12:01:01   | 158                    | 154                    | 153                   
12:01:02   | 163                    | 156                    | 154                   
12:01:03   | 168                    | 158                    | 155                   
12:01:04   | 173                    | 160                    | 156                   
12:01:05   | 178                    | 162                    | 157                   
12:01:06   | 183                    | 164                    | 158                   
12:01:07   | 188                    | 166                    | 164                   
12:01:08   | 193                    | 168                    | 165                   
12:01:09   | 198                    | 170                    | 166                   
12:01:10   | 203                    | 172                    | 167                   
12:01:11   | 208                    | 174                    | 168                   
12:01:12   | 213                    | 176                    | 169                   
12:01:13   | 217                    | 178                    | 170                   
12:01:14   | 222                    | 180                    | 171                   
12:01:15   | 227                    | 182                    | 172                   
12:01:16   | 232                    | 184                    | 173                   
12:01:17   | 237                    | 186                    | 174                   
12:01:18   | 242                    | 188                    | 237                   
12:01:19   | 247                    | 190                    | 238                   
12:01:20   | 252                    | 248                    | 239                   
12:01:21   | 257                    | 250                    | 240                   
12:01:22   | 262                    | 252                    | 241                   
12:01:23   | 267                    | 254                    | 242                   
12:01:24   | 272                    | 256                    | 243                   
12:01:25   | 277                    | 258                    | 244                   
12:01:26   | 281                    | 260                    | 245                   
12:01:27   | 286                    | 262                    | 246                   
