2025-03-05 01:23:23 - Machine initialized with clock rate: 2 ticks/second
2025-03-05 01:23:25 - Internal event, Logical clock: 1
2025-03-05 01:23:26 - Received message from Machine 1, Queue length: 2, Logical clock: 2
2025-03-05 01:23:26 - Received message from Machine 2, Queue length: 2, Logical clock: 3
2025-03-05 01:23:27 - Received message from Machine 1, Queue length: 2, Logical clock: 4
2025-03-05 01:23:27 - Received message from Machine 2, Queue length: 2, Logical clock: 5
2025-03-05 01:23:28 - Received message from Machine 1, Queue length: 4, Logical clock: 7
2025-03-05 01:23:28 - Received message from Machine 1, Queue length: 5, Logical clock: 8
2025-03-05 01:23:29 - Received message from Machine 2, Queue length: 8, Logical clock: 13
2025-03-05 01:23:29 - Received message from Machine 2, Queue length: 9, Logical clock: 14
2025-03-05 01:23:30 - Received message from Machine 2, Queue length: 11, Logical clock: 15
2025-03-05 01:23:30 - Received message from Machine 1, Queue length: 11, Logical clock: 16
2025-03-05 01:23:31 - Received message from Machine 2, Queue length: 12, Logical clock: 17
2025-03-05 01:23:31 - Received message from Machine 1, Queue length: 12, Logical clock: 18
2025-03-05 01:23:32 - Received message from Machine 2, Queue length: 13, Logical clock: 19
2025-03-05 01:23:32 - Received message from Machine 2, Queue length: 12, Logical clock: 20
2025-03-05 01:23:33 - Received message from Machine 2, Queue length: 13, Logical clock: 21
2025-03-05 01:23:33 - Received message from Machine 2, Queue length: 16, Logical clock: 23
2025-03-05 01:23:34 - Received message from Machine 2, Queue length: 17, Logical clock: 24
2025-03-05 01:23:34 - Received message from Machine 2, Queue length: 19, Logical clock: 26
2025-03-05 01:23:35 - Received message from Machine 1, Queue length: 19, Logical clock: 27
2025-03-05 01:23:35 - Received message from Machine 2, Queue length: 20, Logical clock: 28
2025-03-05 01:23:36 - Received message from Machine 2, Queue length: 19, Logical clock: 29
2025-03-05 01:23:36 - Received message from Machine 2, Queue length: 19, Logical clock: 31
2025-03-05 01:23:37 - Received message from Machine 2, Queue length: 20, Logical clock: 32
2025-03-05 01:23:37 - Received message from Machine 1, Queue length: 20, Logical clock: 33
2025-03-05 01:23:38 - Received message from Machine 1, Queue length: 20, Logical clock: 35
2025-03-05 01:23:38 - Received message from Machine 2, Queue length: 22, Logical clock: 38
2025-03-05 01:23:39 - Received message from Machine 2, Queue length: 23, Logical clock: 44
2025-03-05 01:23:39 - Received message from Machine 1, Queue length: 24, Logical clock: 45
2025-03-05 01:23:40 - Received message from Machine 1, Queue length: 25, Logical clock: 46
2025-03-05 01:23:40 - Received message from Machine 2, Queue length: 25, Logical clock: 47
2025-03-05 01:23:41 - Received message from Machine 2, Queue length: 26, Logical clock: 48
2025-03-05 01:23:41 - Received message from Machine 1, Queue length: 27, Logical clock: 49
2025-03-05 01:23:42 - Received message from Machine 1, Queue length: 28, Logical clock: 50
2025-03-05 01:23:42 - Received message from Machine 2, Queue length: 29, Logical clock: 51
2025-03-05 01:23:43 - Received message from Machine 1, Queue length: 29, Logical clock: 52
2025-03-05 01:23:43 - Received message from Machine 2, Queue length: 29, Logical clock: 53
2025-03-05 01:23:44 - Received message from Machine 1, Queue length: 29, Logical clock: 54
2025-03-05 01:23:44 - Received message from Machine 1, Queue length: 31, Logical clock: 55
2025-03-05 01:23:45 - Received message from Machine 1, Queue length: 33, Logical clock: 56
2025-03-05 01:23:45 - Received message from Machine 2, Queue length: 33, Logical clock: 59
2025-03-05 01:23:46 - Received message from Machine 2, Queue length: 33, Logical clock: 64
2025-03-05 01:23:46 - Received message from Machine 2, Queue length: 33, Logical clock: 66
2025-03-05 01:23:47 - Received message from Machine 1, Queue length: 34, Logical clock: 67
2025-03-05 01:23:47 - Received message from Machine 2, Queue length: 35, Logical clock: 70
2025-03-05 01:23:48 - Received message from Machine 1, Queue length: 37, Logical clock: 72
2025-03-05 01:23:48 - Received message from Machine 1, Queue length: 38, Logical clock: 73
2025-03-05 01:23:49 - Received message from Machine 2, Queue length: 39, Logical clock: 76
2025-03-05 01:23:49 - Received message from Machine 1, Queue length: 39, Logical clock: 77
2025-03-05 01:23:50 - Received message from Machine 1, Queue length: 39, Logical clock: 78
2025-03-05 01:23:50 - Received message from Machine 1, Queue length: 40, Logical clock: 79
2025-03-05 01:23:51 - Received message from Machine 2, Queue length: 42, Logical clock: 81
2025-03-05 01:23:51 - Received message from Machine 2, Queue length: 44, Logical clock: 82
2025-03-05 01:23:52 - Received message from Machine 2, Queue length: 44, Logical clock: 84
2025-03-05 01:23:52 - Received message from Machine 2, Queue length: 44, Logical clock: 86
2025-03-05 01:23:53 - Received message from Machine 2, Queue length: 44, Logical clock: 88
2025-03-05 01:23:53 - Received message from Machine 2, Queue length: 44, Logical clock: 91
2025-03-05 01:23:54 - Received message from Machine 1, Queue length: 45, Logical clock: 92
2025-03-05 01:23:54 - Received message from Machine 2, Queue length: 46, Logical clock: 94
2025-03-05 01:23:55 - Received message from Machine 2, Queue length: 45, Logical clock: 95
2025-03-05 01:23:55 - Received message from Machine 2, Queue length: 47, Logical clock: 96
2025-03-05 01:23:56 - Received message from Machine 2, Queue length: 47, Logical clock: 98
2025-03-05 01:23:56 - Received message from Machine 2, Queue length: 48, Logical clock: 100
2025-03-05 01:23:57 - Received message from Machine 2, Queue length: 48, Logical clock: 101
2025-03-05 01:23:57 - Received message from Machine 2, Queue length: 50, Logical clock: 103
2025-03-05 01:23:58 - Received message from Machine 2, Queue length: 51, Logical clock: 105
2025-03-05 01:23:58 - Received message from Machine 1, Queue length: 53, Logical clock: 107
2025-03-05 01:23:59 - Received message from Machine 2, Queue length: 54, Logical clock: 112
