2025-03-05 01:41:00 - Machine initialized with clock rate: 2 ticks/second
2025-03-05 01:41:02 - Sent message to Machine 1, Logical clock: 1
2025-03-05 01:41:03 - Received message from Machine 1, Queue length: 1, Logical clock: 2
2025-03-05 01:41:03 - Received message from Machine 2, Queue length: 1, Logical clock: 3
2025-03-05 01:41:04 - Received message from Machine 1, Queue length: 1, Logical clock: 4
2025-03-05 01:41:04 - Received message from Machine 1, Queue length: 0, Logical clock: 5
2025-03-05 01:41:05 - Received message from Machine 1, Queue length: 1, Logical clock: 9
2025-03-05 01:41:05 - Received message from Machine 1, Queue length: 1, Logical clock: 10
2025-03-05 01:41:06 - Received message from Machine 1, Queue length: 1, Logical clock: 11
2025-03-05 01:41:06 - Received message from Machine 1, Queue length: 1, Logical clock: 14
2025-03-05 01:41:07 - Received message from Machine 1, Queue length: 0, Logical clock: 15
2025-03-05 01:41:07 - Received message from Machine 2, Queue length: 0, Logical clock: 16
2025-03-05 01:41:08 - Received message from Machine 1, Queue length: 0, Logical clock: 21
2025-03-05 01:41:08 - Received message from Machine 1, Queue length: 0, Logical clock: 23
2025-03-05 01:41:09 - Received message from Machine 1, Queue length: 0, Logical clock: 26
2025-03-05 01:41:09 - Received message from Machine 1, Queue length: 0, Logical clock: 28
2025-03-05 01:41:10 - Sent message to ALL other machines, Logical clock: 29
2025-03-05 01:41:10 - Received message from Machine 1, Queue length: 0, Logical clock: 32
2025-03-05 01:41:11 - Internal event, Logical clock: 33
2025-03-05 01:41:11 - Received message from Machine 1, Queue length: 0, Logical clock: 36
2025-03-05 01:41:12 - Received message from Machine 1, Queue length: 0, Logical clock: 38
2025-03-05 01:41:12 - Received message from Machine 2, Queue length: 1, Logical clock: 39
2025-03-05 01:41:13 - Received message from Machine 1, Queue length: 3, Logical clock: 40
2025-03-05 01:41:13 - Received message from Machine 2, Queue length: 2, Logical clock: 41
2025-03-05 01:41:14 - Received message from Machine 1, Queue length: 2, Logical clock: 42
2025-03-05 01:41:14 - Received message from Machine 1, Queue length: 2, Logical clock: 43
2025-03-05 01:41:15 - Received message from Machine 1, Queue length: 3, Logical clock: 45
2025-03-05 01:41:15 - Received message from Machine 1, Queue length: 3, Logical clock: 48
2025-03-05 01:41:16 - Received message from Machine 2, Queue length: 2, Logical clock: 49
2025-03-05 01:41:16 - Received message from Machine 1, Queue length: 3, Logical clock: 50
2025-03-05 01:41:17 - Received message from Machine 1, Queue length: 4, Logical clock: 52
2025-03-05 01:41:17 - Received message from Machine 1, Queue length: 5, Logical clock: 55
2025-03-05 01:41:18 - Received message from Machine 1, Queue length: 6, Logical clock: 56
2025-03-05 01:41:18 - Received message from Machine 1, Queue length: 5, Logical clock: 57
2025-03-05 01:41:19 - Received message from Machine 1, Queue length: 5, Logical clock: 58
2025-03-05 01:41:19 - Received message from Machine 1, Queue length: 5, Logical clock: 59
2025-03-05 01:41:20 - Received message from Machine 1, Queue length: 6, Logical clock: 60
2025-03-05 01:41:20 - Received message from Machine 2, Queue length: 6, Logical clock: 61
2025-03-05 01:41:21 - Received message from Machine 1, Queue length: 6, Logical clock: 62
2025-03-05 01:41:21 - Received message from Machine 2, Queue length: 6, Logical clock: 63
2025-03-05 01:41:22 - Received message from Machine 1, Queue length: 6, Logical clock: 68
2025-03-05 01:41:22 - Received message from Machine 1, Queue length: 6, Logical clock: 69
2025-03-05 01:41:23 - Received message from Machine 1, Queue length: 5, Logical clock: 70
2025-03-05 01:41:23 - Received message from Machine 2, Queue length: 6, Logical clock: 71
2025-03-05 01:41:24 - Received message from Machine 1, Queue length: 6, Logical clock: 73
2025-03-05 01:41:24 - Received message from Machine 1, Queue length: 6, Logical clock: 76
2025-03-05 01:41:25 - Received message from Machine 1, Queue length: 6, Logical clock: 77
2025-03-05 01:41:25 - Received message from Machine 1, Queue length: 6, Logical clock: 79
2025-03-05 01:41:26 - Received message from Machine 1, Queue length: 7, Logical clock: 83
2025-03-05 01:41:26 - Received message from Machine 1, Queue length: 8, Logical clock: 84
2025-03-05 01:41:27 - Received message from Machine 1, Queue length: 7, Logical clock: 85
2025-03-05 01:41:27 - Received message from Machine 1, Queue length: 7, Logical clock: 88
2025-03-05 01:41:28 - Received message from Machine 1, Queue length: 6, Logical clock: 89
2025-03-05 01:41:28 - Received message from Machine 1, Queue length: 7, Logical clock: 92
2025-03-05 01:41:29 - Received message from Machine 1, Queue length: 8, Logical clock: 93
2025-03-05 01:41:29 - Received message from Machine 1, Queue length: 9, Logical clock: 94
2025-03-05 01:41:30 - Received message from Machine 2, Queue length: 8, Logical clock: 95
2025-03-05 01:41:30 - Received message from Machine 1, Queue length: 8, Logical clock: 96
2025-03-05 01:41:31 - Received message from Machine 1, Queue length: 7, Logical clock: 99
2025-03-05 01:41:31 - Received message from Machine 1, Queue length: 7, Logical clock: 103
2025-03-05 01:41:32 - Received message from Machine 1, Queue length: 6, Logical clock: 104
2025-03-05 01:41:32 - Received message from Machine 1, Queue length: 5, Logical clock: 105
2025-03-05 01:41:33 - Received message from Machine 1, Queue length: 4, Logical clock: 106
2025-03-05 01:41:33 - Received message from Machine 1, Queue length: 4, Logical clock: 107
2025-03-05 01:41:34 - Received message from Machine 1, Queue length: 5, Logical clock: 108
2025-03-05 01:41:34 - Received message from Machine 1, Queue length: 5, Logical clock: 111
2025-03-05 01:41:35 - Received message from Machine 1, Queue length: 5, Logical clock: 115
2025-03-05 01:41:35 - Received message from Machine 1, Queue length: 4, Logical clock: 123
2025-03-05 01:41:36 - Received message from Machine 1, Queue length: 4, Logical clock: 124
2025-03-05 01:41:36 - Received message from Machine 1, Queue length: 5, Logical clock: 125
2025-03-05 01:41:37 - Received message from Machine 1, Queue length: 5, Logical clock: 127
2025-03-05 01:41:37 - Received message from Machine 1, Queue length: 6, Logical clock: 128
2025-03-05 01:41:38 - Received message from Machine 1, Queue length: 7, Logical clock: 132
2025-03-05 01:41:38 - Received message from Machine 1, Queue length: 6, Logical clock: 134
2025-03-05 01:41:39 - Received message from Machine 1, Queue length: 7, Logical clock: 135
2025-03-05 01:41:39 - Received message from Machine 1, Queue length: 7, Logical clock: 136
2025-03-05 01:41:40 - Received message from Machine 1, Queue length: 7, Logical clock: 138
2025-03-05 01:41:40 - Received message from Machine 1, Queue length: 7, Logical clock: 139
2025-03-05 01:41:41 - Received message from Machine 1, Queue length: 6, Logical clock: 140
2025-03-05 01:41:42 - Received message from Machine 1, Queue length: 7, Logical clock: 141
2025-03-05 01:41:42 - Received message from Machine 1, Queue length: 7, Logical clock: 144
2025-03-05 01:41:43 - Received message from Machine 1, Queue length: 7, Logical clock: 145
2025-03-05 01:41:43 - Received message from Machine 1, Queue length: 8, Logical clock: 146
2025-03-05 01:41:44 - Received message from Machine 1, Queue length: 7, Logical clock: 148
2025-03-05 01:41:44 - Received message from Machine 1, Queue length: 6, Logical clock: 151
2025-03-05 01:41:45 - Received message from Machine 1, Queue length: 6, Logical clock: 154
2025-03-05 01:41:45 - Received message from Machine 1, Queue length: 5, Logical clock: 155
2025-03-05 01:41:46 - Received message from Machine 1, Queue length: 5, Logical clock: 157
2025-03-05 01:41:46 - Received message from Machine 1, Queue length: 4, Logical clock: 159
2025-03-05 01:41:47 - Received message from Machine 1, Queue length: 3, Logical clock: 160
2025-03-05 01:41:47 - Received message from Machine 1, Queue length: 2, Logical clock: 161
2025-03-05 01:41:48 - Received message from Machine 1, Queue length: 1, Logical clock: 167
2025-03-05 01:41:48 - Received message from Machine 1, Queue length: 0, Logical clock: 170
2025-03-05 01:41:49 - Internal event, Logical clock: 171
2025-03-05 01:41:49 - Received message from Machine 1, Queue length: 0, Logical clock: 184
2025-03-05 01:41:50 - Sent message to Machine 1, Logical clock: 185
2025-03-05 01:41:50 - Received message from Machine 1, Queue length: 0, Logical clock: 189
2025-03-05 01:41:51 - Received message from Machine 1, Queue length: 1, Logical clock: 190
2025-03-05 01:41:51 - Received message from Machine 1, Queue length: 1, Logical clock: 191
2025-03-05 01:41:52 - Received message from Machine 1, Queue length: 2, Logical clock: 193
2025-03-05 01:41:52 - Received message from Machine 1, Queue length: 2, Logical clock: 194
2025-03-05 01:41:53 - Received message from Machine 1, Queue length: 1, Logical clock: 195
2025-03-05 01:41:53 - Received message from Machine 1, Queue length: 0, Logical clock: 196
2025-03-05 01:41:54 - Received message from Machine 1, Queue length: 1, Logical clock: 202
2025-03-05 01:41:54 - Received message from Machine 1, Queue length: 1, Logical clock: 203
2025-03-05 01:41:55 - Received message from Machine 1, Queue length: 1, Logical clock: 204
2025-03-05 01:41:55 - Received message from Machine 1, Queue length: 0, Logical clock: 206
2025-03-05 01:41:56 - Received message from Machine 1, Queue length: 0, Logical clock: 210
2025-03-05 01:41:56 - Received message from Machine 1, Queue length: 0, Logical clock: 213
2025-03-05 01:41:57 - Received message from Machine 1, Queue length: 0, Logical clock: 214
