Timestamp  | Machine 0 (6 ticks/s)  | Machine 1 (5 ticks/s)  | Machine 2 (2 ticks/s) 
-------------------------------------------------------------------------------------------
13:48:20   | 5                      | 4                      | 2                     
13:48:21   | 11                     | 11                     | 5                     
13:48:22   | 17                     | 16                     | 7                     
13:48:23   | 23                     | 21                     | 10                    
13:48:24   | 29                     | 28                     | 15                    
13:48:25   | 34                     | 35                     | 17                    
13:48:26   | 41                     | 40                     | 22                    
13:48:27   | 47                     | 47                     | 24                    
13:48:28   | 53                     | 54                     | 26                    
13:48:29   | 60                     | 61                     | 30                    
13:48:30   | 66                     | 65                     | 35                    
13:48:31   | 73                     | 72                     | 44                    
13:48:32   | 79                     | 77                     | 53                    
13:48:33   | 85                     | 84                     | 59                    
13:48:34   | 91                     | 89                     | 70                    
13:48:35   | 97                     | 97                     | 75                    
13:48:36   | 103                    | 103                    | 79                    
13:48:37   | 110                    | 110                    | 81                    
13:48:38   | 117                    | 116                    | 90                    
13:48:39   | 123                    | 121                    | 95                    
13:48:40   | 128                    | 128                    | 98                    
13:48:41   | 134                    | 133                    | 104                   
13:48:42   | 140                    | 138                    | 107                   
13:48:43   | 146                    | 146                    | 111                   
13:48:44   | 152                    | 151                    | 117                   
13:48:45   | 159                    | 158                    | 119                   
13:48:46   | 164                    | 163                    | 137                   
13:48:47   | 170                    | 170                    | 144                   
13:48:48   | 177                    | 177                    | 153                   
13:48:49   | 183                    | 182                    | 164                   
13:48:50   | 189                    | 189                    | 166                   
13:48:51   | 195                    | 194                    | 173                   
13:48:52   | 201                    | 199                    | 176                   
13:48:53   | 207                    | 204                    | 179                   
13:48:54   | 212                    | 212                    | 188                   
13:48:55   | 218                    | 218                    | 193                   
13:48:56   | 224                    | 224                    | 196                   
13:48:57   | 230                    | 230                    | 202                   
13:48:58   | 236                    | 236                    | 215                   
13:48:59   | 242                    | 241                    | 229                   
13:49:00   | 247                    | 247                    | 235                   
13:49:01   | 253                    | 253                    | 240                   
13:49:02   | 260                    | 259                    | 243                   
13:49:03   | 267                    | 266                    | 251                   
13:49:04   | 273                    | 273                    | 256                   
13:49:05   | 279                    | 278                    | 260                   
13:49:06   | 285                    | 285                    | 268                   
13:49:07   | 291                    | 291                    | 273                   
13:49:08   | 296                    | 297                    | 280                   
13:49:09   | 302                    | 303                    | 291                   
13:49:10   | 309                    | 307                    | 293                   
13:49:11   | 315                    | 315                    | 307                   
13:49:12   | 322                    | 322                    | 311                   
13:49:13   | 328                    | 328                    | 322                   
13:49:14   | 334                    | 333                    | 324                   
13:49:15   | 340                    | 339                    | 328                   
13:49:16   | 346                    | 346                    | 333                   
13:49:17   | 352                    | 352                    | 344                   
13:49:18   | 353                    | 354                    | 347                   
