Timestamp  | Machine 0 (6 ticks/s)  | Machine 1 (5 ticks/s)  | Machine 2 (2 ticks/s) 
-------------------------------------------------------------------------------------------
13:48:20   |                        | 0                      | 1                     
13:48:21   |                        | 0                      | 4                     
13:48:22   |                        | 0                      | 6                     
13:48:23   | 0                      |                        | 6                     
13:48:24   |                        | 0                      | 9                     
13:48:25   |                        | 0                      | 9                     
13:48:26   | 0                      | 0                      | 9                     
13:48:27   |                        | 0                      | 8                     
13:48:28   |                        | 0                      | 8                     
13:48:29   | 0                      | 0                      | 8                     
13:48:30   |                        |                        | 6                     
13:48:31   | 0                      | 0                      | 7                     
13:48:32   |                        |                        | 7                     
13:48:33   | 0                      | 0                      | 8                     
13:48:34   | 0                      |                        | 8                     
13:48:35   |                        | 0                      | 9                     
13:48:36   | 0                      | 0                      | 9                     
13:48:37   | 0                      | 0                      | 11                    
13:48:38   | 0                      | 0                      | 12                    
13:48:39   | 0                      |                        | 12                    
13:48:40   |                        | 0                      | 10                    
13:48:41   |                        |                        | 9                     
13:48:42   | 0                      |                        | 8                     
13:48:43   |                        | 0                      | 9                     
13:48:44   | 0                      |                        | 7                     
13:48:45   | 0                      | 0                      | 7                     
13:48:46   | 0                      |                        | 7                     
13:48:47   | 0                      | 0                      | 7                     
13:48:48   | 0                      | 0                      | 8                     
13:48:49   | 0                      |                        | 8                     
13:48:50   | 0                      | 0                      | 8                     
13:48:51   |                        | 0                      | 9                     
13:48:52   | 0                      |                        | 9                     
13:48:53   | 0                      |                        | 9                     
13:48:54   | 0                      | 0                      | 7                     
13:48:55   | 0                      | 0                      | 6                     
13:48:56   |                        | 0                      | 4                     
13:48:57   |                        | 0                      | 4                     
13:48:58   |                        | 0                      | 5                     
13:48:59   |                        | 0                      | 4                     
13:49:00   |                        | 0                      | 4                     
13:49:01   |                        | 0                      | 4                     
13:49:02   | 0                      | 0                      | 4                     
13:49:03   | 0                      | 0                      | 4                     
13:49:04   |                        | 0                      | 5                     
13:49:05   |                        |                        | 5                     
13:49:06   |                        | 0                      | 4                     
13:49:07   |                        | 0                      | 3                     
13:49:08   | 0                      | 0                      | 4                     
13:49:09   |                        | 0                      | 3                     
13:49:10   | 0                      |                        | 2                     
13:49:11   |                        | 0                      | 2                     
13:49:12   | 0                      | 0                      | 1                     
13:49:13   |                        | 0                      | 2                     
13:49:14   |                        |                        | 3                     
13:49:15   | 0                      | 0                      | 3                     
13:49:16   |                        | 0                      | 2                     
13:49:17   | 0                      | 0                      | 3                     
13:49:18   |                        | 0                      | 3                     
