2025-02-28 13:50:38 - Machine initialized with clock rate: 1 ticks/second
2025-02-28 13:50:40 - Internal event, Logical clock: 1
2025-02-28 13:50:41 - Received message from Machine 0, Queue length: 2, Logical clock: 2
2025-02-28 13:50:42 - Received message from Machine 1, Queue length: 2, Logical clock: 3
2025-02-28 13:50:43 - Received message from Machine 0, Queue length: 1, Logical clock: 4
2025-02-28 13:50:44 - Received message from Machine 0, Queue length: 3, Logical clock: 13
2025-02-28 13:50:45 - Received message from Machine 1, Queue length: 4, Logical clock: 18
2025-02-28 13:50:46 - Received message from Machine 0, Queue length: 4, Logical clock: 20
2025-02-28 13:50:47 - Received message from Machine 0, Queue length: 5, Logical clock: 25
2025-02-28 13:50:48 - Received message from Machine 0, Queue length: 4, Logical clock: 30
2025-02-28 13:50:49 - Received message from Machine 0, Queue length: 4, Logical clock: 31
2025-02-28 13:50:50 - Received message from Machine 0, Queue length: 5, Logical clock: 35
2025-02-28 13:50:51 - Received message from Machine 0, Queue length: 5, Logical clock: 38
2025-02-28 13:50:52 - Received message from Machine 0, Queue length: 7, Logical clock: 43
2025-02-28 13:50:53 - Received message from Machine 0, Queue length: 7, Logical clock: 50
2025-02-28 13:50:54 - Received message from Machine 0, Queue length: 9, Logical clock: 55
2025-02-28 13:50:55 - Received message from Machine 0, Queue length: 8, Logical clock: 60
2025-02-28 13:50:56 - Received message from Machine 0, Queue length: 8, Logical clock: 62
2025-02-28 13:50:57 - Received message from Machine 1, Queue length: 8, Logical clock: 63
2025-02-28 13:50:58 - Received message from Machine 0, Queue length: 9, Logical clock: 69
2025-02-28 13:50:59 - Received message from Machine 0, Queue length: 8, Logical clock: 70
2025-02-28 13:51:00 - Received message from Machine 0, Queue length: 8, Logical clock: 77
2025-02-28 13:51:01 - Received message from Machine 0, Queue length: 7, Logical clock: 79
2025-02-28 13:51:02 - Received message from Machine 0, Queue length: 8, Logical clock: 82
2025-02-28 13:51:03 - Received message from Machine 0, Queue length: 9, Logical clock: 83
2025-02-28 13:51:04 - Received message from Machine 0, Queue length: 10, Logical clock: 94
2025-02-28 13:51:05 - Received message from Machine 1, Queue length: 12, Logical clock: 95
2025-02-28 13:51:06 - Received message from Machine 0, Queue length: 11, Logical clock: 102
2025-02-28 13:51:07 - Received message from Machine 0, Queue length: 12, Logical clock: 106
2025-02-28 13:51:08 - Received message from Machine 0, Queue length: 11, Logical clock: 114
2025-02-28 13:51:09 - Received message from Machine 0, Queue length: 11, Logical clock: 127
2025-02-28 13:51:10 - Received message from Machine 0, Queue length: 10, Logical clock: 128
2025-02-28 13:51:11 - Received message from Machine 0, Queue length: 10, Logical clock: 135
2025-02-28 13:51:12 - Received message from Machine 0, Queue length: 10, Logical clock: 136
2025-02-28 13:51:13 - Received message from Machine 0, Queue length: 10, Logical clock: 138
2025-02-28 13:51:14 - Received message from Machine 0, Queue length: 10, Logical clock: 140
2025-02-28 13:51:15 - Received message from Machine 0, Queue length: 10, Logical clock: 143
2025-02-28 13:51:16 - Received message from Machine 0, Queue length: 10, Logical clock: 145
2025-02-28 13:51:17 - Received message from Machine 0, Queue length: 9, Logical clock: 146
2025-02-28 13:51:18 - Received message from Machine 0, Queue length: 8, Logical clock: 159
2025-02-28 13:51:19 - Received message from Machine 0, Queue length: 10, Logical clock: 160
2025-02-28 13:51:20 - Received message from Machine 0, Queue length: 10, Logical clock: 168
2025-02-28 13:51:21 - Received message from Machine 0, Queue length: 10, Logical clock: 184
2025-02-28 13:51:22 - Received message from Machine 0, Queue length: 10, Logical clock: 185
2025-02-28 13:51:23 - Received message from Machine 0, Queue length: 9, Logical clock: 194
2025-02-28 13:51:24 - Received message from Machine 0, Queue length: 12, Logical clock: 197
2025-02-28 13:51:25 - Received message from Machine 0, Queue length: 14, Logical clock: 202
2025-02-28 13:51:26 - Received message from Machine 0, Queue length: 13, Logical clock: 209
2025-02-28 13:51:27 - Received message from Machine 0, Queue length: 13, Logical clock: 226
2025-02-28 13:51:28 - Received message from Machine 0, Queue length: 12, Logical clock: 227
2025-02-28 13:51:29 - Received message from Machine 0, Queue length: 13, Logical clock: 228
2025-02-28 13:51:30 - Received message from Machine 0, Queue length: 12, Logical clock: 235
2025-02-28 13:51:31 - Received message from Machine 0, Queue length: 12, Logical clock: 238
2025-02-28 13:51:32 - Received message from Machine 0, Queue length: 12, Logical clock: 248
2025-02-28 13:51:33 - Received message from Machine 0, Queue length: 12, Logical clock: 255
2025-02-28 13:51:34 - Received message from Machine 0, Queue length: 13, Logical clock: 256
2025-02-28 13:51:35 - Received message from Machine 0, Queue length: 13, Logical clock: 257
2025-02-28 13:51:36 - Received message from Machine 0, Queue length: 13, Logical clock: 260
2025-02-28 13:51:37 - Received message from Machine 0, Queue length: 12, Logical clock: 264
