Timestamp  | Machine 0 (67 ticks/s)  | Machine 1 (64 ticks/s)  | Machine 2 (95 ticks/s) 
----------------------------------------------------------------------------------------------
11:53:57   | 43                      | 44                      | 46                     
11:53:58   | 122                     | 126                     | 127                    
11:53:59   | 205                     | 206                     | 207                    
11:54:00   | 285                     | 284                     | 288                    
11:54:01   | 366                     | 366                     | 368                    
11:54:02   | 446                     | 444                     | 447                    
11:54:03   | 526                     | 526                     | 528                    
11:54:04   | 606                     | 605                     | 607                    
11:54:05   | 684                     | 683                     | 685                    
11:54:06   | 761                     | 764                     | 766                    
11:54:07   | 845                     | 845                     | 846                    
11:54:08   | 926                     | 926                     | 927                    
11:54:09   | 1004                    | 1004                    | 1007                   
11:54:10   | 1086                    | 1086                    | 1088                   
11:54:11   | 1164                    | 1164                    | 1168                   
11:54:12   | 1247                    | 1244                    | 1249                   
11:54:13   | 1327                    | 1327                    | 1329                   
11:54:14   | 1408                    | 1407                    | 1409                   
11:54:15   | 1487                    | 1487                    | 1488                   
11:54:16   | 1566                    | 1564                    | 1568                   
11:54:17   | 1646                    | 1646                    | 1648                   
11:54:18   | 1726                    | 1726                    | 1728                   
11:54:19   | 1806                    | 1808                    | 1809                   
11:54:20   | 1886                    | 1889                    | 1889                   
11:54:21   | 1968                    | 1968                    | 1969                   
11:54:22   | 2046                    | 2047                    | 2051                   
11:54:23   | 2127                    | 2126                    | 2131                   
11:54:24   | 2210                    | 2210                    | 2213                   
11:54:25   | 2293                    | 2289                    | 2293                   
11:54:26   | 2372                    | 2372                    | 2374                   
11:54:27   | 2451                    | 2452                    | 2454                   
11:54:28   | 2525                    | 2525                    | 2535                   
11:54:29   | 2617                    | 2617                    | 2618                   
11:54:30   | 2695                    | 2696                    | 2698                   
11:54:31   | 2775                    | 2775                    | 2780                   
11:54:32   | 2859                    | 2856                    | 2860                   
11:54:33   | 2937                    | 2937                    | 2939                   
11:54:34   | 3019                    | 3017                    | 3019                   
11:54:35   | 3096                    | 3098                    | 3099                   
11:54:36   | 3178                    | 3177                    | 3179                   
11:54:37   | 3251                    | 3251                    | 3259                   
11:54:38   | 3336                    | 3339                    | 3341                   
11:54:39   | 3421                    | 3422                    | 3423                   
11:54:40   | 3502                    | 3502                    | 3503                   
11:54:41   | 3580                    | 3580                    | 3583                   
11:54:42   | 3662                    | 3662                    | 3664                   
11:54:43   | 3743                    | 3743                    | 3744                   
11:54:44   | 3824                    | 3824                    | 3825                   
11:54:45   | 3901                    | 3901                    | 3905                   
11:54:46   | 3984                    | 3984                    | 3985                   
11:54:47   | 4062                    | 4062                    | 4065                   
11:54:48   | 4146                    | 4146                    | 4147                   
11:54:49   | 4226                    | 4224                    | 4227                   
11:54:50   | 4304                    | 4304                    | 4309                   
11:54:51   | 4384                    | 4388                    | 4391                   
11:54:52   | 4471                    | 4469                    | 4473                   
11:54:53   | 4551                    | 4553                    | 4554                   
11:54:54   | 4634                    | 4634                    | 4636                   
11:54:55   | 4670                    | 4670                    | 4672                   
