2025-02-28 14:26:34 - Machine initialized with clock rate: 23 ticks/second
2025-02-28 14:26:36 - Internal event, Logical clock: 1
2025-02-28 14:26:36 - Internal event, Logical clock: 2
2025-02-28 14:26:36 - Received message from Machine 0, Queue length: 0, Logical clock: 5
2025-02-28 14:26:36 - Internal event, Logical clock: 6
2025-02-28 14:26:36 - Internal event, Logical clock: 7
2025-02-28 14:26:36 - Received message from Machine 1, Queue length: 1, Logical clock: 17
2025-02-28 14:26:36 - Received message from Machine 1, Queue length: 1, Logical clock: 19
2025-02-28 14:26:36 - Received message from Machine 1, Queue length: 1, Logical clock: 20
2025-02-28 14:26:36 - Received message from Machine 0, Queue length: 1, Logical clock: 22
2025-02-28 14:26:36 - Received message from Machine 1, Queue length: 2, Logical clock: 27
2025-02-28 14:26:36 - Received message from Machine 1, Queue length: 1, Logical clock: 31
2025-02-28 14:26:36 - Received message from Machine 0, Queue length: 2, Logical clock: 33
2025-02-28 14:26:36 - Received message from Machine 0, Queue length: 3, Logical clock: 36
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 4, Logical clock: 40
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 5, Logical clock: 42
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 5, Logical clock: 44
2025-02-28 14:26:37 - Received message from Machine 0, Queue length: 6, Logical clock: 45
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 6, Logical clock: 47
2025-02-28 14:26:37 - Received message from Machine 0, Queue length: 5, Logical clock: 49
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 6, Logical clock: 52
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 6, Logical clock: 54
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 6, Logical clock: 56
2025-02-28 14:26:37 - Received message from Machine 0, Queue length: 5, Logical clock: 57
2025-02-28 14:26:37 - Received message from Machine 0, Queue length: 4, Logical clock: 59
2025-02-28 14:26:37 - Received message from Machine 0, Queue length: 5, Logical clock: 66
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 5, Logical clock: 68
2025-02-28 14:26:37 - Received message from Machine 0, Queue length: 6, Logical clock: 69
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 6, Logical clock: 75
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 8, Logical clock: 84
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 8, Logical clock: 87
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 8, Logical clock: 89
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 8, Logical clock: 92
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 7, Logical clock: 93
2025-02-28 14:26:37 - Received message from Machine 1, Queue length: 7, Logical clock: 97
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 7, Logical clock: 98
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 7, Logical clock: 99
2025-02-28 14:26:38 - Received message from Machine 0, Queue length: 7, Logical clock: 100
2025-02-28 14:26:38 - Received message from Machine 0, Queue length: 6, Logical clock: 101
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 6, Logical clock: 105
2025-02-28 14:26:38 - Received message from Machine 0, Queue length: 5, Logical clock: 110
2025-02-28 14:26:38 - Received message from Machine 0, Queue length: 6, Logical clock: 114
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 5, Logical clock: 119
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 6, Logical clock: 125
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 6, Logical clock: 128
2025-02-28 14:26:38 - Received message from Machine 0, Queue length: 5, Logical clock: 131
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 4, Logical clock: 141
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 4, Logical clock: 143
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 4, Logical clock: 147
2025-02-28 14:26:38 - Received message from Machine 0, Queue length: 3, Logical clock: 148
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 3, Logical clock: 154
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 2, Logical clock: 164
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 1, Logical clock: 168
2025-02-28 14:26:38 - Received message from Machine 1, Queue length: 1, Logical clock: 176
2025-02-28 14:26:38 - Received message from Machine 0, Queue length: 0, Logical clock: 182
2025-02-28 14:26:38 - Internal event, Logical clock: 183
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 1, Logical clock: 193
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 1, Logical clock: 197
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 0, Logical clock: 198
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 1, Logical clock: 205
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 1, Logical clock: 206
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 0, Logical clock: 210
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 0, Logical clock: 216
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 1, Logical clock: 220
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 0, Logical clock: 221
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 0, Logical clock: 226
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 0, Logical clock: 227
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 0, Logical clock: 229
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 1, Logical clock: 236
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 2, Logical clock: 237
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 2, Logical clock: 238
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 2, Logical clock: 239
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 2, Logical clock: 245
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 1, Logical clock: 249
2025-02-28 14:26:39 - Received message from Machine 1, Queue length: 0, Logical clock: 250
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 0, Logical clock: 258
2025-02-28 14:26:39 - Received message from Machine 0, Queue length: 0, Logical clock: 259
2025-02-28 14:26:40 - Received message from Machine 1, Queue length: 0, Logical clock: 270
2025-02-28 14:26:40 - Received message from Machine 1, Queue length: 0, Logical clock: 272
2025-02-28 14:26:40 - Sent message to Machine 1, Logical clock: 273
2025-02-28 14:26:40 - Internal event, Logical clock: 274
2025-02-28 14:26:40 - Received message from Machine 1, Queue length: 0, Logical clock: 285
2025-02-28 14:26:40 - Internal event, Logical clock: 286
2025-02-28 14:26:40 - Sent message to ALL other machines, Logical clock: 287
2025-02-28 14:26:40 - Internal event, Logical clock: 288
2025-02-28 14:26:40 - Internal event, Logical clock: 289
2025-02-28 14:26:40 - Received message from Machine 1, Queue length: 1, Logical clock: 300
2025-02-28 14:26:40 - Received message from Machine 0, Queue length: 1, Logical clock: 301
2025-02-28 14:26:40 - Received message from Machine 1, Queue length: 0, Logical clock: 306
2025-02-28 14:26:40 - Received message from Machine 0, Queue length: 0, Logical clock: 309
2025-02-28 14:26:40 - Internal event, Logical clock: 310
2025-02-28 14:26:40 - Received message from Machine 1, Queue length: 0, Logical clock: 319
2025-02-28 14:26:40 - Received message from Machine 0, Queue length: 2, Logical clock: 320
2025-02-28 14:26:40 - Received message from Machine 0, Queue length: 3, Logical clock: 321
2025-02-28 14:26:40 - Received message from Machine 0, Queue length: 2, Logical clock: 322
2025-02-28 14:26:40 - Received message from Machine 1, Queue length: 1, Logical clock: 327
2025-02-28 14:26:40 - Received message from Machine 0, Queue length: 1, Logical clock: 328
2025-02-28 14:26:40 - Received message from Machine 0, Queue length: 2, Logical clock: 334
2025-02-28 14:26:41 - Received message from Machine 0, Queue length: 1, Logical clock: 339
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 2, Logical clock: 342
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 1, Logical clock: 346
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 2, Logical clock: 348
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 2, Logical clock: 355
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 1, Logical clock: 356
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 1, Logical clock: 357
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 2, Logical clock: 364
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 3, Logical clock: 368
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 4, Logical clock: 370
2025-02-28 14:26:41 - Received message from Machine 0, Queue length: 4, Logical clock: 371
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 5, Logical clock: 374
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 5, Logical clock: 377
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 5, Logical clock: 378
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 5, Logical clock: 381
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 5, Logical clock: 383
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 5, Logical clock: 385
2025-02-28 14:26:41 - Received message from Machine 0, Queue length: 4, Logical clock: 387
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 4, Logical clock: 391
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 4, Logical clock: 393
2025-02-28 14:26:41 - Received message from Machine 0, Queue length: 5, Logical clock: 395
2025-02-28 14:26:41 - Received message from Machine 1, Queue length: 5, Logical clock: 402
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 6, Logical clock: 409
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 6, Logical clock: 411
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 5, Logical clock: 414
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 5, Logical clock: 415
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 5, Logical clock: 417
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 6, Logical clock: 418
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 7, Logical clock: 419
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 7, Logical clock: 424
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 6, Logical clock: 432
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 7, Logical clock: 434
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 6, Logical clock: 440
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 6, Logical clock: 442
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 5, Logical clock: 444
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 6, Logical clock: 445
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 6, Logical clock: 446
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 5, Logical clock: 455
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 4, Logical clock: 456
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 5, Logical clock: 459
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 6, Logical clock: 468
2025-02-28 14:26:42 - Received message from Machine 1, Queue length: 6, Logical clock: 469
2025-02-28 14:26:42 - Received message from Machine 0, Queue length: 7, Logical clock: 472
2025-02-28 14:26:43 - Received message from Machine 1, Queue length: 7, Logical clock: 484
2025-02-28 14:26:43 - Received message from Machine 1, Queue length: 6, Logical clock: 485
