Timestamp  | Machine 0 (13 ticks/s)  | Machine 1 (39 ticks/s)  | Machine 2 (55 ticks/s) 
----------------------------------------------------------------------------------------------
14:32:11   | 3                       | 5                       | 6                      
14:32:12   | 42                      | 52                      | 53                     
14:32:13   | 71                      | 98                      | 100                    
14:32:14   | 98                      | 145                     | 145                    
14:32:15   | 161                     | 191                     | 192                    
14:32:16   | 222                     | 235                     | 237                    
14:32:17   | 273                     | 283                     | 285                    
14:32:18   | 321                     | 329                     | 331                    
14:32:19   | 364                     | 375                     | 378                    
14:32:20   | 405                     | 423                     | 425                    
14:32:21   | 445                     | 471                     | 472                    
14:32:22   | 489                     | 515                     | 518                    
14:32:23   | 548                     | 563                     | 564                    
14:32:24   | 589                     | 608                     | 610                    
14:32:25   | 613                     | 655                     | 657                    
14:32:26   | 644                     | 704                     | 705                    
14:32:27   | 697                     | 747                     | 751                    
14:32:28   | 772                     | 800                     | 799                    
14:32:29   | 842                     | 845                     | 847                    
14:32:30   | 885                     | 894                     | 894                    
14:32:31   | 917                     | 941                     | 942                    
14:32:32   | 955                     | 987                     | 988                    
14:32:33   | 993                     | 1036                    | 1036                   
14:32:34   | 1047                    | 1082                    | 1082                   
14:32:35   | 1086                    | 1127                    | 1130                   
14:32:36   | 1124                    | 1174                    | 1176                   
14:32:37   | 1167                    | 1220                    | 1223                   
14:32:38   | 1211                    | 1269                    | 1271                   
14:32:39   | 1248                    | 1315                    | 1317                   
14:32:40   | 1269                    | 1364                    | 1364                   
14:32:41   | 1313                    | 1413                    | 1412                   
14:32:42   | 1360                    | 1458                    | 1459                   
14:32:43   | 1393                    | 1506                    | 1507                   
14:32:44   | 1428                    | 1552                    | 1554                   
14:32:45   | 1468                    | 1602                    | 1602                   
14:32:46   | 1519                    | 1646                    | 1650                   
14:32:47   | 1555                    | 1694                    | 1696                   
14:32:48   | 1599                    | 1742                    | 1742                   
14:32:49   | 1640                    | 1789                    | 1789                   
14:32:50   | 1696                    | 1835                    | 1837                   
14:32:51   | 1766                    | 1882                    | 1884                   
14:32:52   | 1805                    | 1931                    | 1931                   
14:32:53   | 1849                    | 1976                    | 1978                   
14:32:54   | 1887                    | 2024                    | 2026                   
14:32:55   | 1923                    | 2072                    | 2073                   
14:32:56   | 1970                    | 2119                    | 2120                   
14:32:57   | 2008                    | 2166                    | 2166                   
14:32:58   | 2051                    | 2210                    | 2214                   
14:32:59   | 2094                    | 2261                    | 2261                   
14:33:00   | 2140                    | 2308                    | 2308                   
14:33:01   | 2180                    | 2354                    | 2357                   
14:33:02   | 2225                    | 2403                    | 2403                   
14:33:03   | 2280                    | 2446                    | 2450                   
14:33:04   | 2327                    | 2495                    | 2495                   
14:33:05   | 2370                    | 2543                    | 2542                   
14:33:06   | 2414                    | 2589                    | 2589                   
14:33:07   | 2456                    | 2635                    | 2637                   
14:33:08   | 2503                    | 2683                    | 2684                   
14:33:09   | 2529                    | 2724                    | 2725                   
