2025-02-28 14:32:09 - Machine initialized with clock rate: 13 ticks/second
2025-02-28 14:32:11 - Internal event, Logical clock: 1
2025-02-28 14:32:11 - Received message from Machine 2, Queue length: 0, Logical clock: 3
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 1, Logical clock: 7
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 1, Logical clock: 8
2025-02-28 14:32:12 - Received message from Machine 1, Queue length: 0, Logical clock: 9
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 0, Logical clock: 18
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 0, Logical clock: 23
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 0, Logical clock: 25
2025-02-28 14:32:12 - Received message from Machine 1, Queue length: 0, Logical clock: 30
2025-02-28 14:32:12 - Received message from Machine 1, Queue length: 2, Logical clock: 31
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 3, Logical clock: 33
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 3, Logical clock: 34
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 4, Logical clock: 36
2025-02-28 14:32:12 - Received message from Machine 1, Queue length: 4, Logical clock: 38
2025-02-28 14:32:12 - Received message from Machine 2, Queue length: 4, Logical clock: 42
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 5, Logical clock: 46
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 5, Logical clock: 47
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 5, Logical clock: 50
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 6, Logical clock: 53
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 8, Logical clock: 55
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 9, Logical clock: 58
2025-02-28 14:32:13 - Received message from Machine 1, Queue length: 8, Logical clock: 61
2025-02-28 14:32:13 - Received message from Machine 1, Queue length: 9, Logical clock: 62
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 10, Logical clock: 66
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 11, Logical clock: 68
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 11, Logical clock: 70
