Timestamp  | Machine 0 (2 ticks/s)   | Machine 1 (56 ticks/s)  | Machine 2 (85 ticks/s) 
----------------------------------------------------------------------------------------------
14:35:25   | 1                       | 22                      | 23                     
14:35:26   | 3                       | 92                      | 92                     
14:35:27   | 6                       | 162                     | 163                    
14:35:28   | 29                      | 231                     | 233                    
14:35:29   | 39                      | 303                     | 303                    
14:35:30   | 41                      | 374                     | 376                    
14:35:31   | 46                      | 447                     | 447                    
14:35:32   | 55                      | 519                     | 520                    
14:35:33   | 65                      | 591                     | 591                    
14:35:34   | 68                      | 658                     | 663                    
14:35:35   | 74                      | 733                     | 733                    
14:35:36   | 78                      | 802                     | 803                    
14:35:37   | 84                      | 874                     | 876                    
14:35:38   | 95                      | 944                     | 946                    
14:35:39   | 102                     | 1019                    | 1018                   
14:35:40   | 109                     | 1088                    | 1090                   
14:35:41   | 118                     | 1160                    | 1160                   
14:35:42   | 124                     | 1229                    | 1231                   
14:35:43   | 129                     | 1300                    | 1300                   
14:35:44   | 136                     | 1373                    | 1373                   
14:35:45   | 141                     | 1439                    | 1442                   
14:35:46   | 144                     | 1512                    | 1514                   
14:35:47   | 150                     | 1586                    | 1587                   
14:35:48   | 158                     | 1652                    | 1658                   
14:35:49   | 162                     | 1729                    | 1730                   
14:35:50   | 167                     | 1795                    | 1795                   
14:35:51   | 173                     | 1863                    | 1865                   
14:35:52   | 189                     | 1925                    | 1937                   
14:35:53   | 194                     | 2006                    | 2009                   
14:35:54   | 199                     | 2079                    | 2080                   
14:35:55   | 205                     | 2152                    | 2153                   
14:35:56   | 215                     | 2226                    | 2226                   
14:35:57   | 228                     | 2298                    | 2298                   
14:35:58   | 233                     | 2367                    | 2370                   
14:35:59   | 251                     | 2440                    | 2441                   
14:36:00   | 258                     | 2508                    | 2513                   
14:36:01   | 267                     | 2581                    | 2583                   
14:36:02   | 270                     | 2653                    | 2654                   
14:36:03   | 277                     | 2724                    | 2725                   
14:36:04   | 279                     | 2794                    | 2797                   
14:36:05   | 293                     | 2864                    | 2869                   
14:36:06   | 298                     | 2941                    | 2942                   
14:36:07   | 306                     | 3010                    | 3013                   
14:36:08   | 313                     | 3085                    | 3084                   
14:36:09   | 321                     | 3154                    | 3156                   
14:36:10   | 322                     | 3225                    | 3226                   
14:36:11   | 330                     | 3298                    | 3298                   
14:36:12   | 338                     | 3369                    | 3369                   
14:36:13   | 346                     | 3439                    | 3440                   
14:36:14   | 351                     | 3509                    | 3511                   
14:36:15   | 354                     | 3582                    | 3583                   
14:36:16   | 367                     | 3653                    | 3655                   
14:36:17   | 375                     | 3726                    | 3726                   
14:36:18   | 384                     | 3793                    | 3796                   
14:36:19   | 389                     | 3868                    | 3868                   
14:36:20   | 392                     | 3936                    | 3941                   
14:36:21   | 399                     | 4010                    | 4011                   
14:36:22   | 417                     | 4082                    | 4082                   
14:36:23   | 431                     | 4131                    | 4132                   
