Timestamp  | Machine 0 (2 ticks/s)   | Machine 1 (56 ticks/s)  | Machine 2 (85 ticks/s) 
----------------------------------------------------------------------------------------------
14:35:25   |                         | 0                       | 0                      
14:35:26   | 17                      | 0                       | 0                      
14:35:27   | 37                      | 0                       | 0                      
14:35:28   | 54                      | 0                       | 0                      
14:35:29   | 70                      | 0                       | 0                      
14:35:30   | 89                      | 0                       | 0                      
14:35:31   | 102                     | 0                       | 0                      
14:35:32   | 121                     | 0                       | 0                      
14:35:33   | 135                     | 0                       | 0                      
14:35:34   | 156                     | 0                       | 0                      
14:35:35   | 177                     | 0                       | 0                      
14:35:36   | 198                     | 0                       | 0                      
14:35:37   | 216                     | 0                       | 0                      
14:35:38   | 230                     | 0                       | 0                      
14:35:39   | 245                     | 0                       | 0                      
14:35:40   | 261                     | 0                       | 0                      
14:35:41   | 278                     | 0                       | 0                      
14:35:42   | 298                     | 0                       | 0                      
14:35:43   | 311                     | 0                       | 0                      
14:35:44   | 330                     | 0                       | 0                      
14:35:45   | 348                     | 0                       | 0                      
14:35:46   | 370                     | 0                       | 0                      
14:35:47   | 391                     | 0                       | 0                      
14:35:48   | 410                     | 0                       | 0                      
14:35:49   | 427                     | 1                       | 0                      
14:35:50   | 445                     | 0                       | 0                      
14:35:51   | 458                     | 0                       | 0                      
14:35:52   | 476                     | 0                       | 0                      
14:35:53   | 492                     | 0                       | 0                      
14:35:54   | 510                     | 0                       | 0                      
14:35:55   | 524                     | 0                       | 0                      
14:35:56   | 543                     | 0                       | 0                      
14:35:57   | 565                     | 0                       | 0                      
14:35:58   | 580                     | 0                       | 0                      
14:35:59   | 598                     | 0                       | 0                      
14:36:00   | 620                     | 0                       | 0                      
14:36:01   | 641                     | 0                       | 0                      
14:36:02   | 660                     | 0                       | 0                      
14:36:03   | 678                     | 0                       | 0                      
14:36:04   | 695                     | 0                       | 0                      
14:36:05   | 720                     | 0                       | 0                      
14:36:06   | 736                     | 0                       | 0                      
14:36:07   | 755                     | 0                       | 0                      
14:36:08   | 772                     | 0                       | 0                      
14:36:09   | 787                     | 0                       | 0                      
14:36:10   | 797                     | 0                       | 0                      
14:36:11   | 809                     | 0                       | 0                      
14:36:12   | 826                     | 0                       | 0                      
14:36:13   | 853                     | 0                       | 0                      
14:36:14   | 863                     | 0                       | 0                      
14:36:15   | 875                     | 0                       | 0                      
14:36:16   | 894                     | 0                       | 0                      
14:36:17   | 920                     | 0                       | 0                      
14:36:18   | 940                     | 0                       | 0                      
14:36:19   | 959                     | 0                       | 0                      
14:36:20   | 978                     | 0                       | 0                      
14:36:21   | 992                     | 0                       | 0                      
14:36:22   | 1012                    | 0                       | 0                      
14:36:23   | 1035                    | 0                       | 0                      
