Timestamp  | Machine 0 (2 ticks/s)  | Machine 1 (3 ticks/s)  | Machine 2 (2 ticks/s) 
-------------------------------------------------------------------------------------------
11:55:06   | 0                      |                        | 0                     
11:55:07   | 0                      |                        | 1                     
11:55:08   | 0                      | 0                      | 0                     
11:55:09   | 0                      |                        | 1                     
11:55:10   |                        | 0                      | 1                     
11:55:11   | 0                      |                        | 0                     
11:55:12   | 1                      |                        | 0                     
11:55:13   | 0                      | 0                      | 0                     
11:55:14   |                        |                        | 0                     
11:55:15   | 0                      |                        | 0                     
11:55:16   | 0                      |                        | 0                     
11:55:17   |                        | 0                      | 0                     
11:55:18   | 1                      | 0                      |                       
11:55:19   | 0                      | 0                      | 0                     
11:55:21   |                        |                        | 1                     
11:55:22   |                        | 0                      | 2                     
11:55:23   | 0                      |                        | 1                     
11:55:24   | 0                      |                        | 0                     
11:55:25   | 0                      |                        | 0                     
11:55:26   |                        | 0                      |                       
11:55:27   | 1                      | 0                      |                       
11:55:28   | 2                      |                        | 0                     
11:55:29   | 2                      |                        | 0                     
11:55:30   | 1                      |                        | 0                     
11:55:31   | 1                      |                        |                       
11:55:32   | 2                      |                        | 0                     
11:55:33   | 2                      |                        | 0                     
11:55:34   | 2                      |                        | 0                     
11:55:35   | 1                      |                        | 0                     
11:55:36   | 1                      |                        |                       
11:55:37   | 0                      |                        | 1                     
11:55:38   |                        |                        | 2                     
11:55:39   | 0                      |                        | 0                     
11:55:40   | 0                      | 0                      |                       
11:55:41   | 0                      | 0                      |                       
11:55:42   | 0                      |                        |                       
11:55:43   | 0                      |                        | 0                     
11:55:44   | 0                      | 0                      | 0                     
11:55:45   |                        | 0                      | 0                     
11:55:46   |                        |                        | 0                     
11:55:47   | 1                      |                        | 0                     
11:55:48   | 0                      |                        | 0                     
11:55:49   | 0                      |                        | 0                     
11:55:50   | 1                      | 0                      | 0                     
11:55:51   | 0                      |                        |                       
11:55:52   | 1                      |                        | 0                     
11:55:53   | 0                      |                        | 0                     
11:55:54   | 0                      |                        | 0                     
11:55:55   | 1                      | 0                      |                       
11:55:56   | 0                      | 0                      | 0                     
11:55:57   | 0                      | 0                      | 0                     
11:55:58   | 0                      | 0                      |                       
11:55:59   | 1                      |                        | 0                     
11:56:00   | 2                      |                        | 1                     
11:56:01   | 3                      |                        | 0                     
11:56:02   | 1                      | 0                      |                       
11:56:03   | 0                      |                        | 0                     
11:56:04   | 0                      |                        |                       
