Timestamp  | Machine 0 (3 ticks/s)  | Machine 1 (1 ticks/s)  | Machine 2 (3 ticks/s) 
-------------------------------------------------------------------------------------------
14:31:48   | 3                      | 1                      | 3                     
14:31:49   | 6                      | 2                      | 6                     
14:31:50   | 9                      | 5                      | 9                     
14:31:51   | 13                     | 6                      | 12                    
14:31:52   | 17                     | 7                      | 16                    
14:31:53   | 20                     | 8                      | 20                    
14:31:54   | 24                     | 11                     | 23                    
14:31:55   | 27                     | 13                     | 26                    
14:31:56   | 30                     | 18                     | 29                    
14:31:57   | 33                     | 21                     | 33                    
14:31:58   | 37                     | 23                     | 36                    
14:31:59   | 40                     | 25                     | 40                    
14:32:00   | 43                     | 26                     | 43                    
14:32:01   | 46                     | 27                     | 46                    
14:32:02   | 50                     | 28                     | 49                    
14:32:03   | 53                     | 29                     | 53                    
14:32:04   | 56                     | 31                     | 56                    
14:32:05   | 60                     | 33                     | 59                    
14:32:06   | 63                     | 35                     | 62                    
14:32:07   | 66                     | 36                     | 65                    
14:32:08   | 70                     | 37                     | 69                    
14:32:09   | 73                     | 42                     | 72                    
14:32:10   | 77                     | 43                     | 76                    
14:32:11   | 79                     | 47                     | 79                    
14:32:12   | 82                     | 49                     | 82                    
14:32:13   | 85                     | 50                     | 85                    
14:32:14   | 88                     | 51                     | 88                    
14:32:15   | 91                     | 54                     | 91                    
14:32:16   | 94                     | 55                     | 94                    
14:32:17   | 97                     | 56                     | 97                    
14:32:18   | 100                    | 58                     | 100                   
14:32:19   | 103                    | 61                     | 103                   
14:32:20   | 107                    | 62                     | 106                   
14:32:21   | 110                    | 63                     | 109                   
14:32:22   | 113                    | 64                     | 112                   
14:32:23   | 116                    | 65                     | 115                   
14:32:24   | 119                    | 66                     | 119                   
14:32:25   | 122                    | 70                     | 122                   
14:32:26   | 126                    | 71                     | 125                   
14:32:27   | 130                    | 75                     | 129                   
14:32:28   | 133                    | 78                     | 132                   
14:32:29   | 136                    | 79                     | 135                   
14:32:30   | 139                    | 81                     | 138                   
14:32:31   | 142                    | 83                     | 142                   
14:32:32   | 146                    | 84                     | 145                   
14:32:33   | 149                    | 85                     | 148                   
14:32:34   | 152                    | 87                     | 151                   
14:32:35   | 156                    | 90                     | 155                   
14:32:36   | 159                    | 91                     | 159                   
14:32:37   | 163                    | 92                     | 163                   
14:32:38   | 166                    | 93                     | 166                   
14:32:39   | 169                    | 96                     | 169                   
14:32:40   | 172                    | 97                     | 171                   
14:32:41   | 174                    | 98                     | 175                   
14:32:42   | 177                    | 99                     | 178                   
14:32:43   | 180                    | 100                    | 181                   
14:32:44   | 183                    | 103                    | 184                   
14:32:45   | 186                    | 104                    | 187                   
