2025-02-28 14:31:46 - Machine initialized with clock rate: 1 ticks/second
2025-02-28 14:31:48 - Sent message to Machine 0, Logical clock: 1
2025-02-28 14:31:49 - Internal event, Logical clock: 2
2025-02-28 14:31:50 - Received message from Machine 2, Queue length: 2, Logical clock: 5
2025-02-28 14:31:51 - Received message from Machine 2, Queue length: 2, Logical clock: 6
2025-02-28 14:31:52 - Received message from Machine 2, Queue length: 3, Logical clock: 7
2025-02-28 14:31:53 - Received message from Machine 2, Queue length: 3, Logical clock: 8
2025-02-28 14:31:54 - Received message from Machine 2, Queue length: 3, Logical clock: 11
2025-02-28 14:31:55 - Received message from Machine 2, Queue length: 3, Logical clock: 13
2025-02-28 14:31:56 - Received message from Machine 0, Queue length: 6, Logical clock: 18
2025-02-28 14:31:57 - Received message from Machine 2, Queue length: 7, Logical clock: 21
2025-02-28 14:31:58 - Received message from Machine 0, Queue length: 7, Logical clock: 23
2025-02-28 14:31:59 - Received message from Machine 2, Queue length: 9, Logical clock: 25
2025-02-28 14:32:00 - Received message from Machine 0, Queue length: 8, Logical clock: 26
2025-02-28 14:32:01 - Received message from Machine 0, Queue length: 9, Logical clock: 27
2025-02-28 14:32:02 - Received message from Machine 0, Queue length: 9, Logical clock: 28
2025-02-28 14:32:03 - Received message from Machine 2, Queue length: 10, Logical clock: 29
2025-02-28 14:32:04 - Received message from Machine 0, Queue length: 11, Logical clock: 31
2025-02-28 14:32:05 - Received message from Machine 0, Queue length: 12, Logical clock: 33
2025-02-28 14:32:06 - Received message from Machine 2, Queue length: 12, Logical clock: 35
2025-02-28 14:32:07 - Received message from Machine 2, Queue length: 15, Logical clock: 36
2025-02-28 14:32:08 - Received message from Machine 2, Queue length: 16, Logical clock: 37
2025-02-28 14:32:09 - Received message from Machine 2, Queue length: 16, Logical clock: 42
2025-02-28 14:32:10 - Received message from Machine 2, Queue length: 16, Logical clock: 43
2025-02-28 14:32:11 - Received message from Machine 0, Queue length: 16, Logical clock: 47
2025-02-28 14:32:12 - Received message from Machine 0, Queue length: 18, Logical clock: 49
2025-02-28 14:32:13 - Received message from Machine 2, Queue length: 19, Logical clock: 50
2025-02-28 14:32:14 - Received message from Machine 2, Queue length: 20, Logical clock: 51
2025-02-28 14:32:15 - Received message from Machine 0, Queue length: 20, Logical clock: 54
2025-02-28 14:32:16 - Received message from Machine 0, Queue length: 22, Logical clock: 55
2025-02-28 14:32:17 - Received message from Machine 0, Queue length: 23, Logical clock: 56
2025-02-28 14:32:18 - Received message from Machine 0, Queue length: 24, Logical clock: 58
2025-02-28 14:32:19 - Received message from Machine 2, Queue length: 24, Logical clock: 61
2025-02-28 14:32:20 - Received message from Machine 0, Queue length: 27, Logical clock: 62
2025-02-28 14:32:21 - Received message from Machine 2, Queue length: 27, Logical clock: 63
2025-02-28 14:32:22 - Received message from Machine 0, Queue length: 29, Logical clock: 64
2025-02-28 14:32:23 - Received message from Machine 2, Queue length: 31, Logical clock: 65
2025-02-28 14:32:24 - Received message from Machine 2, Queue length: 33, Logical clock: 66
2025-02-28 14:32:25 - Received message from Machine 2, Queue length: 34, Logical clock: 70
2025-02-28 14:32:26 - Received message from Machine 2, Queue length: 36, Logical clock: 71
2025-02-28 14:32:27 - Received message from Machine 0, Queue length: 38, Logical clock: 75
2025-02-28 14:32:28 - Received message from Machine 2, Queue length: 38, Logical clock: 78
2025-02-28 14:32:29 - Received message from Machine 2, Queue length: 38, Logical clock: 79
2025-02-28 14:32:30 - Received message from Machine 0, Queue length: 39, Logical clock: 81
2025-02-28 14:32:31 - Received message from Machine 0, Queue length: 40, Logical clock: 83
2025-02-28 14:32:32 - Received message from Machine 0, Queue length: 40, Logical clock: 84
2025-02-28 14:32:33 - Received message from Machine 0, Queue length: 39, Logical clock: 85
2025-02-28 14:32:34 - Received message from Machine 0, Queue length: 40, Logical clock: 87
2025-02-28 14:32:35 - Received message from Machine 0, Queue length: 41, Logical clock: 90
2025-02-28 14:32:36 - Received message from Machine 0, Queue length: 42, Logical clock: 91
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 44, Logical clock: 92
2025-02-28 14:32:38 - Received message from Machine 0, Queue length: 43, Logical clock: 93
2025-02-28 14:32:39 - Received message from Machine 2, Queue length: 44, Logical clock: 96
2025-02-28 14:32:40 - Received message from Machine 0, Queue length: 45, Logical clock: 97
2025-02-28 14:32:41 - Received message from Machine 0, Queue length: 45, Logical clock: 98
2025-02-28 14:32:42 - Received message from Machine 0, Queue length: 46, Logical clock: 99
2025-02-28 14:32:43 - Received message from Machine 2, Queue length: 49, Logical clock: 100
2025-02-28 14:32:44 - Received message from Machine 0, Queue length: 51, Logical clock: 103
2025-02-28 14:32:45 - Received message from Machine 2, Queue length: 52, Logical clock: 104
