2025-02-28 14:34:30 - Machine initialized with clock rate: 1 ticks/second
2025-02-28 14:34:32 - Internal event, Logical clock: 1
2025-02-28 14:34:33 - Received message from Machine 1, Queue length: 0, Logical clock: 3
2025-02-28 14:34:34 - Received message from Machine 2, Queue length: 1, Logical clock: 4
2025-02-28 14:34:35 - Received message from Machine 1, Queue length: 2, Logical clock: 6
2025-02-28 14:34:36 - Received message from Machine 1, Queue length: 1, Logical clock: 9
2025-02-28 14:34:37 - Received message from Machine 1, Queue length: 1, Logical clock: 10
2025-02-28 14:34:38 - Received message from Machine 1, Queue length: 2, Logical clock: 16
2025-02-28 14:34:39 - Received message from Machine 1, Queue length: 3, Logical clock: 17
2025-02-28 14:34:40 - Received message from Machine 1, Queue length: 4, Logical clock: 18
2025-02-28 14:34:41 - Received message from Machine 1, Queue length: 6, Logical clock: 21
2025-02-28 14:34:42 - Received message from Machine 1, Queue length: 6, Logical clock: 22
2025-02-28 14:34:43 - Received message from Machine 1, Queue length: 7, Logical clock: 23
2025-02-28 14:34:44 - Received message from Machine 1, Queue length: 8, Logical clock: 25
2025-02-28 14:34:45 - Received message from Machine 1, Queue length: 10, Logical clock: 26
2025-02-28 14:34:46 - Received message from Machine 1, Queue length: 9, Logical clock: 27
2025-02-28 14:34:47 - Received message from Machine 1, Queue length: 8, Logical clock: 28
2025-02-28 14:34:48 - Received message from Machine 1, Queue length: 7, Logical clock: 29
2025-02-28 14:34:49 - Received message from Machine 1, Queue length: 7, Logical clock: 32
2025-02-28 14:34:50 - Received message from Machine 1, Queue length: 6, Logical clock: 34
2025-02-28 14:34:51 - Received message from Machine 1, Queue length: 7, Logical clock: 36
2025-02-28 14:34:52 - Received message from Machine 1, Queue length: 6, Logical clock: 37
2025-02-28 14:34:53 - Received message from Machine 1, Queue length: 7, Logical clock: 38
2025-02-28 14:34:54 - Received message from Machine 1, Queue length: 7, Logical clock: 39
2025-02-28 14:34:55 - Received message from Machine 1, Queue length: 7, Logical clock: 40
2025-02-28 14:34:56 - Received message from Machine 1, Queue length: 7, Logical clock: 52
2025-02-28 14:34:57 - Received message from Machine 1, Queue length: 7, Logical clock: 57
2025-02-28 14:34:58 - Received message from Machine 1, Queue length: 7, Logical clock: 58
2025-02-28 14:34:59 - Received message from Machine 1, Queue length: 6, Logical clock: 62
2025-02-28 14:35:00 - Received message from Machine 1, Queue length: 6, Logical clock: 64
2025-02-28 14:35:01 - Received message from Machine 1, Queue length: 5, Logical clock: 66
2025-02-28 14:35:02 - Received message from Machine 1, Queue length: 4, Logical clock: 69
2025-02-28 14:35:03 - Received message from Machine 1, Queue length: 3, Logical clock: 73
2025-02-28 14:35:04 - Received message from Machine 1, Queue length: 2, Logical clock: 76
2025-02-28 14:35:05 - Received message from Machine 1, Queue length: 3, Logical clock: 79
2025-02-28 14:35:06 - Received message from Machine 1, Queue length: 3, Logical clock: 85
2025-02-28 14:35:07 - Received message from Machine 1, Queue length: 3, Logical clock: 98
2025-02-28 14:35:08 - Received message from Machine 1, Queue length: 3, Logical clock: 99
2025-02-28 14:35:09 - Received message from Machine 1, Queue length: 4, Logical clock: 103
2025-02-28 14:35:10 - Received message from Machine 1, Queue length: 3, Logical clock: 104
2025-02-28 14:35:11 - Received message from Machine 1, Queue length: 4, Logical clock: 108
2025-02-28 14:35:12 - Received message from Machine 1, Queue length: 4, Logical clock: 111
2025-02-28 14:35:13 - Received message from Machine 1, Queue length: 4, Logical clock: 112
2025-02-28 14:35:14 - Received message from Machine 1, Queue length: 3, Logical clock: 117
2025-02-28 14:35:15 - Received message from Machine 1, Queue length: 3, Logical clock: 118
2025-02-28 14:35:16 - Received message from Machine 1, Queue length: 4, Logical clock: 121
2025-02-28 14:35:17 - Received message from Machine 1, Queue length: 5, Logical clock: 122
2025-02-28 14:35:18 - Received message from Machine 1, Queue length: 6, Logical clock: 129
2025-02-28 14:35:19 - Received message from Machine 1, Queue length: 6, Logical clock: 130
2025-02-28 14:35:20 - Received message from Machine 1, Queue length: 7, Logical clock: 131
2025-02-28 14:35:21 - Received message from Machine 1, Queue length: 7, Logical clock: 133
2025-02-28 14:35:22 - Received message from Machine 1, Queue length: 7, Logical clock: 135
2025-02-28 14:35:23 - Received message from Machine 1, Queue length: 7, Logical clock: 136
2025-02-28 14:35:24 - Received message from Machine 1, Queue length: 7, Logical clock: 137
2025-02-28 14:35:25 - Received message from Machine 1, Queue length: 7, Logical clock: 141
2025-02-28 14:35:26 - Received message from Machine 1, Queue length: 9, Logical clock: 143
2025-02-28 14:35:27 - Received message from Machine 1, Queue length: 10, Logical clock: 144
2025-02-28 14:35:28 - Received message from Machine 1, Queue length: 12, Logical clock: 147
2025-02-28 14:35:29 - Received message from Machine 1, Queue length: 11, Logical clock: 150
