2025-02-28 14:34:30 - Machine initialized with clock rate: 1 ticks/second
2025-02-28 14:34:32 - Internal event, Logical clock: 1
2025-02-28 14:34:33 - Sent message to ALL other machines, Logical clock: 2
2025-02-28 14:34:34 - Received message from Machine 1, Queue length: 0, Logical clock: 6
2025-02-28 14:34:35 - Received message from Machine 1, Queue length: 1, Logical clock: 8
2025-02-28 14:34:36 - Received message from Machine 1, Queue length: 1, Logical clock: 10
2025-02-28 14:34:37 - Received message from Machine 1, Queue length: 1, Logical clock: 12
2025-02-28 14:34:38 - Received message from Machine 1, Queue length: 1, Logical clock: 16
2025-02-28 14:34:39 - Received message from Machine 1, Queue length: 1, Logical clock: 18
2025-02-28 14:34:40 - Received message from Machine 1, Queue length: 1, Logical clock: 22
2025-02-28 14:34:41 - Received message from Machine 1, Queue length: 1, Logical clock: 24
2025-02-28 14:34:42 - Received message from Machine 1, Queue length: 2, Logical clock: 26
2025-02-28 14:34:43 - Received message from Machine 1, Queue length: 2, Logical clock: 29
2025-02-28 14:34:44 - Received message from Machine 1, Queue length: 2, Logical clock: 30
2025-02-28 14:34:45 - Received message from Machine 1, Queue length: 2, Logical clock: 32
2025-02-28 14:34:46 - Received message from Machine 1, Queue length: 2, Logical clock: 37
2025-02-28 14:34:47 - Received message from Machine 1, Queue length: 2, Logical clock: 40
2025-02-28 14:34:48 - Received message from Machine 1, Queue length: 2, Logical clock: 42
2025-02-28 14:34:49 - Received message from Machine 1, Queue length: 2, Logical clock: 46
2025-02-28 14:34:50 - Received message from Machine 1, Queue length: 1, Logical clock: 48
2025-02-28 14:34:51 - Received message from Machine 1, Queue length: 0, Logical clock: 52
2025-02-28 14:34:52 - Received message from Machine 1, Queue length: 1, Logical clock: 59
2025-02-28 14:34:53 - Received message from Machine 1, Queue length: 2, Logical clock: 61
2025-02-28 14:34:54 - Received message from Machine 1, Queue length: 1, Logical clock: 63
2025-02-28 14:34:55 - Received message from Machine 1, Queue length: 1, Logical clock: 64
2025-02-28 14:34:56 - Received message from Machine 1, Queue length: 0, Logical clock: 69
2025-02-28 14:34:57 - Received message from Machine 1, Queue length: 0, Logical clock: 75
2025-02-28 14:34:58 - Received message from Machine 1, Queue length: 1, Logical clock: 78
2025-02-28 14:34:59 - Received message from Machine 1, Queue length: 2, Logical clock: 79
2025-02-28 14:35:00 - Received message from Machine 1, Queue length: 1, Logical clock: 81
2025-02-28 14:35:01 - Received message from Machine 1, Queue length: 0, Logical clock: 82
2025-02-28 14:35:02 - Received message from Machine 1, Queue length: 0, Logical clock: 91
2025-02-28 14:35:03 - Received message from Machine 1, Queue length: 0, Logical clock: 94
2025-02-28 14:35:04 - Received message from Machine 1, Queue length: 0, Logical clock: 95
2025-02-28 14:35:05 - Received message from Machine 1, Queue length: 2, Logical clock: 98
2025-02-28 14:35:06 - Received message from Machine 1, Queue length: 1, Logical clock: 99
2025-02-28 14:35:07 - Received message from Machine 1, Queue length: 1, Logical clock: 100
2025-02-28 14:35:08 - Received message from Machine 1, Queue length: 0, Logical clock: 104
2025-02-28 14:35:09 - Received message from Machine 1, Queue length: 1, Logical clock: 111
2025-02-28 14:35:10 - Received message from Machine 1, Queue length: 2, Logical clock: 112
2025-02-28 14:35:11 - Received message from Machine 1, Queue length: 2, Logical clock: 113
2025-02-28 14:35:12 - Received message from Machine 1, Queue length: 4, Logical clock: 115
2025-02-28 14:35:13 - Received message from Machine 1, Queue length: 4, Logical clock: 116
2025-02-28 14:35:14 - Received message from Machine 1, Queue length: 4, Logical clock: 119
2025-02-28 14:35:15 - Received message from Machine 1, Queue length: 5, Logical clock: 120
2025-02-28 14:35:16 - Received message from Machine 1, Queue length: 5, Logical clock: 121
2025-02-28 14:35:17 - Received message from Machine 1, Queue length: 7, Logical clock: 123
2025-02-28 14:35:18 - Received message from Machine 1, Queue length: 8, Logical clock: 126
2025-02-28 14:35:19 - Received message from Machine 1, Queue length: 8, Logical clock: 128
2025-02-28 14:35:20 - Received message from Machine 1, Queue length: 8, Logical clock: 129
2025-02-28 14:35:21 - Received message from Machine 1, Queue length: 9, Logical clock: 130
2025-02-28 14:35:22 - Received message from Machine 1, Queue length: 9, Logical clock: 133
2025-02-28 14:35:23 - Received message from Machine 1, Queue length: 9, Logical clock: 134
2025-02-28 14:35:24 - Received message from Machine 1, Queue length: 10, Logical clock: 135
2025-02-28 14:35:25 - Received message from Machine 1, Queue length: 11, Logical clock: 136
2025-02-28 14:35:26 - Received message from Machine 1, Queue length: 12, Logical clock: 137
2025-02-28 14:35:27 - Received message from Machine 1, Queue length: 13, Logical clock: 139
2025-02-28 14:35:28 - Received message from Machine 1, Queue length: 12, Logical clock: 144
2025-02-28 14:35:29 - Received message from Machine 1, Queue length: 13, Logical clock: 145
