Timestamp  | Machine 0 (5 ticks/s)  | Machine 1 (2 ticks/s)  | Machine 2 (1 ticks/s) 
-------------------------------------------------------------------------------------------
13:31:00   | 3                      | 1                      | 1                     
13:31:01   | 7                      | 3                      | 2                     
13:31:02   | 12                     | 11                     | 7                     
13:31:03   | 17                     | 13                     | 9                     
13:31:04   | 22                     | 18                     | 10                    
13:31:05   | 27                     | 21                     | 12                    
13:31:06   | 32                     | 23                     | 14                    
13:31:07   | 37                     | 25                     | 20                    
13:31:08   | 42                     | 27                     | 24                    
13:31:09   | 47                     | 46                     | 26                    
13:31:10   | 52                     | 49                     | 30                    
13:31:11   | 57                     | 51                     | 31                    
13:31:12   | 61                     | 59                     | 41                    
13:31:13   | 66                     | 64                     | 42                    
13:31:14   | 71                     | 68                     | 47                    
13:31:15   | 76                     | 74                     | 48                    
13:31:16   | 81                     | 79                     | 54                    
13:31:17   | 86                     | 81                     | 57                    
13:31:18   | 91                     | 89                     | 60                    
13:31:19   | 96                     | 91                     | 67                    
13:31:20   | 101                    | 93                     | 68                    
13:31:21   | 106                    | 102                    | 72                    
13:31:22   | 110                    | 104                    | 73                    
13:31:23   | 115                    | 114                    | 74                    
13:31:24   | 120                    | 116                    | 75                    
13:31:25   | 125                    | 125                    | 79                    
13:31:26   | 130                    | 128                    | 83                    
13:31:27   | 135                    | 133                    | 84                    
13:31:28   | 140                    | 137                    | 87                    
13:31:29   | 145                    | 141                    | 92                    
13:31:30   | 150                    | 147                    | 100                   
13:31:31   | 155                    | 153                    | 101                   
13:31:32   | 159                    | 155                    | 104                   
13:31:33   | 164                    | 163                    | 111                   
13:31:34   | 169                    | 168                    | 114                   
13:31:35   | 174                    | 172                    | 116                   
13:31:36   | 179                    | 174                    | 117                   
13:31:37   | 184                    | 176                    | 135                   
13:31:38   | 189                    | 186                    | 139                   
13:31:39   | 194                    | 192                    | 146                   
13:31:40   | 199                    | 196                    | 148                   
13:31:41   | 204                    | 198                    | 161                   
13:31:42   | 209                    | 200                    | 164                   
13:31:43   | 214                    | 202                    | 177                   
13:31:44   | 218                    | 218                    | 178                   
13:31:45   | 223                    | 220                    | 184                   
13:31:46   | 228                    | 229                    | 187                   
13:31:47   | 233                    | 232                    | 191                   
13:31:48   | 238                    | 237                    | 197                   
13:31:49   | 243                    | 239                    | 203                   
13:31:50   | 248                    | 248                    | 217                   
13:31:51   | 253                    | 251                    | 218                   
13:31:52   | 258                    | 253                    | 224                   
13:31:53   | 263                    | 255                    | 229                   
13:31:54   | 267                    | 268                    | 231                   
13:31:55   | 272                    | 272                    | 236                   
13:31:56   | 277                    | 273                    | 237                   
13:31:57   | 282                    | 279                    | 250                   
13:31:58   | 285                    | 286                    |                       
