2025-02-28 13:30:58 - Machine initialized with clock rate: 1 ticks/second
2025-02-28 13:31:00 - Internal event, Logical clock: 1
2025-02-28 13:31:01 - Internal event, Logical clock: 2
2025-02-28 13:31:02 - Received message from Machine 0, Queue length: 2, Logical clock: 7
2025-02-28 13:31:03 - Received message from Machine 0, Queue length: 3, Logical clock: 9
2025-02-28 13:31:04 - Received message from Machine 0, Queue length: 3, Logical clock: 10
2025-02-28 13:31:05 - Received message from Machine 0, Queue length: 4, Logical clock: 12
2025-02-28 13:31:06 - Received message from Machine 0, Queue length: 4, Logical clock: 14
2025-02-28 13:31:07 - Received message from Machine 0, Queue length: 4, Logical clock: 20
2025-02-28 13:31:08 - Received message from Machine 0, Queue length: 4, Logical clock: 24
2025-02-28 13:31:09 - Received message from Machine 0, Queue length: 4, Logical clock: 26
2025-02-28 13:31:10 - Received message from Machine 0, Queue length: 5, Logical clock: 30
2025-02-28 13:31:11 - Received message from Machine 1, Queue length: 5, Logical clock: 31
2025-02-28 13:31:12 - Received message from Machine 0, Queue length: 6, Logical clock: 41
2025-02-28 13:31:13 - Received message from Machine 1, Queue length: 5, Logical clock: 42
2025-02-28 13:31:14 - Received message from Machine 0, Queue length: 6, Logical clock: 47
2025-02-28 13:31:15 - Received message from Machine 0, Queue length: 9, Logical clock: 48
2025-02-28 13:31:16 - Received message from Machine 0, Queue length: 9, Logical clock: 54
2025-02-28 13:31:17 - Received message from Machine 0, Queue length: 9, Logical clock: 57
2025-02-28 13:31:18 - Received message from Machine 0, Queue length: 10, Logical clock: 60
2025-02-28 13:31:19 - Received message from Machine 0, Queue length: 9, Logical clock: 67
2025-02-28 13:31:20 - Received message from Machine 0, Queue length: 10, Logical clock: 68
2025-02-28 13:31:21 - Received message from Machine 0, Queue length: 10, Logical clock: 72
2025-02-28 13:31:22 - Received message from Machine 0, Queue length: 10, Logical clock: 73
2025-02-28 13:31:23 - Received message from Machine 0, Queue length: 11, Logical clock: 74
2025-02-28 13:31:24 - Received message from Machine 0, Queue length: 11, Logical clock: 75
2025-02-28 13:31:25 - Received message from Machine 0, Queue length: 11, Logical clock: 79
2025-02-28 13:31:26 - Received message from Machine 0, Queue length: 10, Logical clock: 83
2025-02-28 13:31:27 - Received message from Machine 1, Queue length: 9, Logical clock: 84
2025-02-28 13:31:28 - Received message from Machine 0, Queue length: 10, Logical clock: 87
2025-02-28 13:31:29 - Received message from Machine 1, Queue length: 9, Logical clock: 92
2025-02-28 13:31:30 - Received message from Machine 0, Queue length: 9, Logical clock: 100
2025-02-28 13:31:31 - Received message from Machine 0, Queue length: 9, Logical clock: 101
2025-02-28 13:31:32 - Received message from Machine 1, Queue length: 8, Logical clock: 104
2025-02-28 13:31:33 - Received message from Machine 0, Queue length: 9, Logical clock: 111
2025-02-28 13:31:34 - Received message from Machine 0, Queue length: 8, Logical clock: 114
2025-02-28 13:31:35 - Received message from Machine 1, Queue length: 7, Logical clock: 116
2025-02-28 13:31:36 - Received message from Machine 1, Queue length: 7, Logical clock: 117
2025-02-28 13:31:37 - Received message from Machine 0, Queue length: 8, Logical clock: 135
2025-02-28 13:31:38 - Received message from Machine 0, Queue length: 7, Logical clock: 139
2025-02-28 13:31:39 - Received message from Machine 0, Queue length: 8, Logical clock: 146
2025-02-28 13:31:40 - Received message from Machine 1, Queue length: 8, Logical clock: 148
2025-02-28 13:31:41 - Received message from Machine 0, Queue length: 7, Logical clock: 161
2025-02-28 13:31:42 - Received message from Machine 0, Queue length: 6, Logical clock: 164
2025-02-28 13:31:43 - Received message from Machine 0, Queue length: 5, Logical clock: 177
2025-02-28 13:31:44 - Received message from Machine 1, Queue length: 7, Logical clock: 178
2025-02-28 13:31:45 - Received message from Machine 0, Queue length: 6, Logical clock: 184
2025-02-28 13:31:46 - Received message from Machine 1, Queue length: 6, Logical clock: 187
2025-02-28 13:31:47 - Received message from Machine 0, Queue length: 7, Logical clock: 191
2025-02-28 13:31:48 - Received message from Machine 0, Queue length: 8, Logical clock: 197
2025-02-28 13:31:49 - Received message from Machine 1, Queue length: 7, Logical clock: 203
2025-02-28 13:31:50 - Received message from Machine 0, Queue length: 6, Logical clock: 217
2025-02-28 13:31:51 - Received message from Machine 0, Queue length: 6, Logical clock: 218
2025-02-28 13:31:52 - Received message from Machine 0, Queue length: 6, Logical clock: 224
2025-02-28 13:31:53 - Received message from Machine 0, Queue length: 7, Logical clock: 229
2025-02-28 13:31:54 - Received message from Machine 1, Queue length: 6, Logical clock: 231
2025-02-28 13:31:55 - Received message from Machine 0, Queue length: 6, Logical clock: 236
2025-02-28 13:31:56 - Received message from Machine 0, Queue length: 7, Logical clock: 237
2025-02-28 13:31:57 - Received message from Machine 0, Queue length: 6, Logical clock: 250
