2025-02-28 13:48:18 - Machine initialized with clock rate: 2 ticks/second
2025-02-28 13:48:20 - Sent message to Machine 1, Logical clock: 1
2025-02-28 13:48:20 - Received message from Machine 0, Queue length: 1, Logical clock: 2
2025-02-28 13:48:21 - Received message from Machine 0, Queue length: 3, Logical clock: 3
2025-02-28 13:48:21 - Received message from Machine 0, Queue length: 4, Logical clock: 5
2025-02-28 13:48:22 - Received message from Machine 1, Queue length: 4, Logical clock: 6
2025-02-28 13:48:22 - Received message from Machine 0, Queue length: 6, Logical clock: 7
2025-02-28 13:48:23 - Received message from Machine 0, Queue length: 5, Logical clock: 8
2025-02-28 13:48:23 - Received message from Machine 0, Queue length: 6, Logical clock: 10
2025-02-28 13:48:24 - Received message from Machine 0, Queue length: 8, Logical clock: 12
2025-02-28 13:48:24 - Received message from Machine 0, Queue length: 9, Logical clock: 15
2025-02-28 13:48:25 - Received message from Machine 1, Queue length: 10, Logical clock: 16
2025-02-28 13:48:25 - Received message from Machine 0, Queue length: 9, Logical clock: 17
2025-02-28 13:48:26 - Received message from Machine 0, Queue length: 10, Logical clock: 20
2025-02-28 13:48:26 - Received message from Machine 0, Queue length: 9, Logical clock: 22
2025-02-28 13:48:27 - Received message from Machine 0, Queue length: 9, Logical clock: 23
2025-02-28 13:48:27 - Received message from Machine 1, Queue length: 8, Logical clock: 24
2025-02-28 13:48:28 - Received message from Machine 1, Queue length: 8, Logical clock: 25
2025-02-28 13:48:28 - Received message from Machine 1, Queue length: 8, Logical clock: 26
2025-02-28 13:48:29 - Received message from Machine 0, Queue length: 8, Logical clock: 27
2025-02-28 13:48:29 - Received message from Machine 0, Queue length: 8, Logical clock: 30
2025-02-28 13:48:30 - Received message from Machine 0, Queue length: 7, Logical clock: 31
2025-02-28 13:48:30 - Received message from Machine 0, Queue length: 6, Logical clock: 35
2025-02-28 13:48:31 - Received message from Machine 0, Queue length: 6, Logical clock: 36
2025-02-28 13:48:31 - Received message from Machine 0, Queue length: 7, Logical clock: 44
2025-02-28 13:48:32 - Received message from Machine 1, Queue length: 7, Logical clock: 47
2025-02-28 13:48:32 - Received message from Machine 0, Queue length: 7, Logical clock: 53
2025-02-28 13:48:33 - Received message from Machine 1, Queue length: 9, Logical clock: 56
2025-02-28 13:48:33 - Received message from Machine 0, Queue length: 8, Logical clock: 59
2025-02-28 13:48:34 - Received message from Machine 0, Queue length: 8, Logical clock: 68
2025-02-28 13:48:34 - Received message from Machine 1, Queue length: 8, Logical clock: 70
2025-02-28 13:48:35 - Received message from Machine 0, Queue length: 8, Logical clock: 72
2025-02-28 13:48:35 - Received message from Machine 1, Queue length: 9, Logical clock: 75
2025-02-28 13:48:36 - Received message from Machine 1, Queue length: 9, Logical clock: 77
2025-02-28 13:48:36 - Received message from Machine 0, Queue length: 9, Logical clock: 79
2025-02-28 13:48:37 - Received message from Machine 1, Queue length: 10, Logical clock: 80
2025-02-28 13:48:37 - Received message from Machine 0, Queue length: 11, Logical clock: 81
2025-02-28 13:48:38 - Received message from Machine 1, Queue length: 12, Logical clock: 85
2025-02-28 13:48:38 - Received message from Machine 0, Queue length: 12, Logical clock: 90
2025-02-28 13:48:39 - Received message from Machine 1, Queue length: 13, Logical clock: 91
2025-02-28 13:48:39 - Received message from Machine 0, Queue length: 12, Logical clock: 95
2025-02-28 13:48:40 - Received message from Machine 0, Queue length: 11, Logical clock: 96
2025-02-28 13:48:40 - Received message from Machine 0, Queue length: 10, Logical clock: 98
2025-02-28 13:48:41 - Received message from Machine 0, Queue length: 9, Logical clock: 103
2025-02-28 13:48:41 - Received message from Machine 0, Queue length: 9, Logical clock: 104
2025-02-28 13:48:42 - Received message from Machine 0, Queue length: 8, Logical clock: 105
2025-02-28 13:48:42 - Received message from Machine 1, Queue length: 8, Logical clock: 107
2025-02-28 13:48:43 - Received message from Machine 0, Queue length: 8, Logical clock: 109
2025-02-28 13:48:43 - Received message from Machine 0, Queue length: 9, Logical clock: 111
2025-02-28 13:48:44 - Received message from Machine 0, Queue length: 8, Logical clock: 113
2025-02-28 13:48:44 - Received message from Machine 0, Queue length: 7, Logical clock: 117
2025-02-28 13:48:45 - Received message from Machine 1, Queue length: 8, Logical clock: 118
2025-02-28 13:48:45 - Received message from Machine 1, Queue length: 7, Logical clock: 119
2025-02-28 13:48:46 - Received message from Machine 1, Queue length: 6, Logical clock: 134
2025-02-28 13:48:46 - Received message from Machine 1, Queue length: 7, Logical clock: 137
2025-02-28 13:48:47 - Received message from Machine 0, Queue length: 7, Logical clock: 143
2025-02-28 13:48:47 - Received message from Machine 1, Queue length: 7, Logical clock: 144
2025-02-28 13:48:48 - Received message from Machine 1, Queue length: 7, Logical clock: 145
2025-02-28 13:48:48 - Received message from Machine 0, Queue length: 8, Logical clock: 153
2025-02-28 13:48:49 - Received message from Machine 0, Queue length: 9, Logical clock: 154
2025-02-28 13:48:49 - Received message from Machine 0, Queue length: 8, Logical clock: 164
2025-02-28 13:48:50 - Received message from Machine 1, Queue length: 8, Logical clock: 165
2025-02-28 13:48:50 - Received message from Machine 0, Queue length: 8, Logical clock: 166
2025-02-28 13:48:51 - Received message from Machine 1, Queue length: 8, Logical clock: 170
2025-02-28 13:48:51 - Received message from Machine 0, Queue length: 9, Logical clock: 173
2025-02-28 13:48:52 - Received message from Machine 0, Queue length: 10, Logical clock: 175
2025-02-28 13:48:52 - Received message from Machine 0, Queue length: 9, Logical clock: 176
2025-02-28 13:48:53 - Received message from Machine 1, Queue length: 9, Logical clock: 178
2025-02-28 13:48:53 - Received message from Machine 1, Queue length: 9, Logical clock: 179
2025-02-28 13:48:54 - Received message from Machine 1, Queue length: 8, Logical clock: 184
2025-02-28 13:48:54 - Received message from Machine 0, Queue length: 7, Logical clock: 188
2025-02-28 13:48:55 - Received message from Machine 0, Queue length: 7, Logical clock: 191
2025-02-28 13:48:55 - Received message from Machine 1, Queue length: 6, Logical clock: 193
2025-02-28 13:48:56 - Received message from Machine 0, Queue length: 5, Logical clock: 194
2025-02-28 13:48:56 - Received message from Machine 0, Queue length: 4, Logical clock: 196
2025-02-28 13:48:57 - Received message from Machine 1, Queue length: 4, Logical clock: 197
2025-02-28 13:48:57 - Received message from Machine 1, Queue length: 4, Logical clock: 202
2025-02-28 13:48:58 - Received message from Machine 0, Queue length: 4, Logical clock: 207
2025-02-28 13:48:58 - Received message from Machine 0, Queue length: 5, Logical clock: 215
2025-02-28 13:48:59 - Received message from Machine 0, Queue length: 5, Logical clock: 228
2025-02-28 13:48:59 - Received message from Machine 0, Queue length: 4, Logical clock: 229
2025-02-28 13:49:00 - Received message from Machine 0, Queue length: 5, Logical clock: 233
2025-02-28 13:49:00 - Received message from Machine 0, Queue length: 4, Logical clock: 235
2025-02-28 13:49:01 - Received message from Machine 1, Queue length: 4, Logical clock: 236
2025-02-28 13:49:01 - Received message from Machine 0, Queue length: 4, Logical clock: 240
2025-02-28 13:49:02 - Received message from Machine 0, Queue length: 4, Logical clock: 243
2025-02-28 13:49:03 - Received message from Machine 0, Queue length: 5, Logical clock: 245
2025-02-28 13:49:03 - Received message from Machine 0, Queue length: 4, Logical clock: 251
2025-02-28 13:49:04 - Received message from Machine 0, Queue length: 5, Logical clock: 254
2025-02-28 13:49:04 - Received message from Machine 1, Queue length: 5, Logical clock: 256
2025-02-28 13:49:05 - Received message from Machine 0, Queue length: 6, Logical clock: 258
2025-02-28 13:49:05 - Received message from Machine 1, Queue length: 5, Logical clock: 260
2025-02-28 13:49:06 - Received message from Machine 1, Queue length: 5, Logical clock: 266
