2025-02-28 13:49:15 - Machine initialized with clock rate: 1 ticks/second
2025-02-28 13:49:17 - Internal event, Logical clock: 1
2025-02-28 13:49:18 - Received message from Machine 2, Queue length: 1, Logical clock: 5
2025-02-28 13:49:19 - Received message from Machine 2, Queue length: 5, Logical clock: 6
2025-02-28 13:49:20 - Received message from Machine 1, Queue length: 5, Logical clock: 7
2025-02-28 13:49:21 - Received message from Machine 2, Queue length: 6, Logical clock: 8
2025-02-28 13:49:22 - Received message from Machine 2, Queue length: 6, Logical clock: 9
2025-02-28 13:49:23 - Received message from Machine 2, Queue length: 5, Logical clock: 12
2025-02-28 13:49:24 - Received message from Machine 2, Queue length: 5, Logical clock: 13
2025-02-28 13:49:25 - Received message from Machine 2, Queue length: 5, Logical clock: 15
2025-02-28 13:49:26 - Received message from Machine 1, Queue length: 5, Logical clock: 19
2025-02-28 13:49:27 - Received message from Machine 1, Queue length: 7, Logical clock: 20
2025-02-28 13:49:28 - Received message from Machine 2, Queue length: 7, Logical clock: 30
2025-02-28 13:49:29 - Received message from Machine 1, Queue length: 7, Logical clock: 39
2025-02-28 13:49:30 - Received message from Machine 2, Queue length: 8, Logical clock: 47
2025-02-28 13:49:31 - Received message from Machine 2, Queue length: 9, Logical clock: 53
2025-02-28 13:49:32 - Received message from Machine 1, Queue length: 11, Logical clock: 55
2025-02-28 13:49:33 - Received message from Machine 2, Queue length: 11, Logical clock: 59
2025-02-28 13:49:34 - Received message from Machine 2, Queue length: 12, Logical clock: 60
2025-02-28 13:49:35 - Received message from Machine 2, Queue length: 12, Logical clock: 66
2025-02-28 13:49:36 - Received message from Machine 2, Queue length: 13, Logical clock: 70
2025-02-28 13:49:37 - Received message from Machine 2, Queue length: 15, Logical clock: 73
2025-02-28 13:49:38 - Received message from Machine 1, Queue length: 16, Logical clock: 75
2025-02-28 13:49:39 - Received message from Machine 1, Queue length: 16, Logical clock: 78
2025-02-28 13:49:40 - Received message from Machine 2, Queue length: 17, Logical clock: 81
2025-02-28 13:49:41 - Received message from Machine 2, Queue length: 17, Logical clock: 88
2025-02-28 13:49:42 - Received message from Machine 2, Queue length: 18, Logical clock: 89
2025-02-28 13:49:43 - Received message from Machine 1, Queue length: 18, Logical clock: 90
2025-02-28 13:49:44 - Received message from Machine 2, Queue length: 20, Logical clock: 96
2025-02-28 13:49:45 - Received message from Machine 2, Queue length: 21, Logical clock: 100
2025-02-28 13:49:46 - Received message from Machine 2, Queue length: 20, Logical clock: 101
2025-02-28 13:49:47 - Received message from Machine 2, Queue length: 20, Logical clock: 103
2025-02-28 13:49:48 - Received message from Machine 2, Queue length: 20, Logical clock: 111
2025-02-28 13:49:49 - Received message from Machine 2, Queue length: 20, Logical clock: 112
2025-02-28 13:49:50 - Received message from Machine 2, Queue length: 19, Logical clock: 115
2025-02-28 13:49:51 - Received message from Machine 1, Queue length: 19, Logical clock: 116
2025-02-28 13:49:52 - Received message from Machine 2, Queue length: 20, Logical clock: 119
2025-02-28 13:49:53 - Received message from Machine 2, Queue length: 21, Logical clock: 122
2025-02-28 13:49:54 - Received message from Machine 2, Queue length: 22, Logical clock: 123
2025-02-28 13:49:55 - Received message from Machine 2, Queue length: 24, Logical clock: 128
2025-02-28 13:49:56 - Received message from Machine 1, Queue length: 24, Logical clock: 131
2025-02-28 13:49:57 - Received message from Machine 1, Queue length: 25, Logical clock: 135
2025-02-28 13:49:58 - Received message from Machine 2, Queue length: 25, Logical clock: 143
2025-02-28 13:49:59 - Received message from Machine 2, Queue length: 26, Logical clock: 145
2025-02-28 13:50:00 - Received message from Machine 2, Queue length: 26, Logical clock: 147
2025-02-28 13:50:01 - Received message from Machine 1, Queue length: 28, Logical clock: 153
2025-02-28 13:50:02 - Received message from Machine 2, Queue length: 28, Logical clock: 156
2025-02-28 13:50:03 - Received message from Machine 1, Queue length: 29, Logical clock: 157
2025-02-28 13:50:04 - Received message from Machine 1, Queue length: 28, Logical clock: 158
2025-02-28 13:50:05 - Received message from Machine 1, Queue length: 30, Logical clock: 159
2025-02-28 13:50:06 - Received message from Machine 2, Queue length: 32, Logical clock: 167
2025-02-28 13:50:07 - Received message from Machine 1, Queue length: 33, Logical clock: 169
2025-02-28 13:50:08 - Received message from Machine 1, Queue length: 35, Logical clock: 173
2025-02-28 13:50:09 - Received message from Machine 1, Queue length: 34, Logical clock: 176
2025-02-28 13:50:10 - Received message from Machine 2, Queue length: 37, Logical clock: 200
2025-02-28 13:50:11 - Received message from Machine 1, Queue length: 38, Logical clock: 201
2025-02-28 13:50:12 - Received message from Machine 1, Queue length: 40, Logical clock: 206
2025-02-28 13:50:13 - Received message from Machine 1, Queue length: 39, Logical clock: 208
2025-02-28 13:50:14 - Received message from Machine 2, Queue length: 40, Logical clock: 212
