Timestamp  | Machine 0 (1 ticks/s)  | Machine 1 (4 ticks/s)  | Machine 2 (6 ticks/s) 
-------------------------------------------------------------------------------------------
13:49:17   |                        | 0                      |                       
13:49:18   | 1                      | 0                      |                       
13:49:19   | 5                      | 0                      | 0                     
13:49:20   | 5                      |                        |                       
13:49:21   | 6                      | 0                      |                       
13:49:22   | 6                      | 0                      |                       
13:49:23   | 5                      | 0                      | 0                     
13:49:24   | 5                      |                        | 0                     
13:49:25   | 5                      | 0                      |                       
13:49:26   | 5                      | 0                      | 0                     
13:49:27   | 7                      | 0                      |                       
13:49:28   | 7                      | 0                      |                       
13:49:29   | 7                      |                        | 0                     
13:49:30   | 8                      |                        |                       
13:49:31   | 9                      | 0                      | 0                     
13:49:32   | 11                     | 0                      | 0                     
13:49:33   | 11                     | 0                      |                       
13:49:34   | 12                     | 0                      |                       
13:49:35   | 12                     | 0                      |                       
13:49:36   | 13                     |                        | 0                     
13:49:37   | 15                     |                        |                       
13:49:38   | 16                     | 0                      |                       
13:49:39   | 16                     | 0                      | 0                     
13:49:40   | 17                     | 0                      |                       
13:49:41   | 17                     |                        |                       
13:49:42   | 18                     | 0                      |                       
13:49:43   | 18                     |                        | 0                     
13:49:44   | 20                     |                        | 0                     
13:49:45   | 21                     |                        |                       
13:49:46   | 20                     |                        |                       
13:49:47   | 20                     |                        |                       
13:49:48   | 20                     |                        |                       
13:49:49   | 20                     |                        |                       
13:49:50   | 19                     |                        |                       
13:49:51   | 19                     | 0                      |                       
13:49:52   | 20                     | 0                      | 0                     
13:49:53   | 21                     | 0                      |                       
13:49:54   | 22                     | 0                      | 0                     
13:49:55   | 24                     | 0                      |                       
13:49:56   | 24                     | 1                      |                       
13:49:57   | 25                     | 0                      |                       
13:49:58   | 25                     |                        | 0                     
13:49:59   | 26                     |                        | 0                     
13:50:00   | 26                     | 1                      |                       
13:50:01   | 28                     | 0                      |                       
13:50:02   | 28                     | 0                      |                       
13:50:03   | 29                     | 0                      | 0                     
13:50:04   | 28                     | 0                      | 0                     
13:50:05   | 30                     | 0                      | 0                     
13:50:06   | 32                     | 0                      |                       
13:50:07   | 33                     | 0                      |                       
13:50:08   | 35                     |                        | 0                     
13:50:09   | 34                     | 0                      |                       
13:50:10   | 37                     | 1                      |                       
13:50:11   | 38                     | 0                      |                       
13:50:12   | 40                     | 0                      |                       
13:50:13   | 39                     | 0                      |                       
13:50:14   | 40                     | 0                      |                       
