Timestamp  | Machine 0 | Machine 1 | Machine 2
----------------------------------------------------
13:50:16   | 1         | 1         | 1        
13:50:17   | 6         | 2         | 4        
13:50:18   | 11        | 3         | 11       
13:50:19   | 16        | 4         | 15       
13:50:20   | 21        | 8         | 18       
13:50:21   | 26        | 11        | 25       
13:50:22   | 31        | 17        | 31       
13:50:23   | 36        | 23        | 35       
13:50:24   | 40        | 31        | 40       
13:50:25   | 45        | 36        | 43       
13:50:26   | 50        | 37        | 49       
13:50:27   | 55        | 39        | 56       
13:50:28   | 60        | 41        | 58       
13:50:29   | 65        | 47        | 63       
13:50:30   | 70        | 52        | 66       
13:50:31   | 75        | 73        | 73       
13:50:32   | 80        | 74        | 76       
13:50:33   | 85        | 81        | 79       
13:50:34   | 89        | 82        | 89       
13:50:35   | 94        | 92        | 92       
13:50:36   | 99        | 94        | 95       
13:50:37   | 104       | 104       | 103      
13:50:38   | 109       | 106       | 106      
13:50:39   | 114       | 107       | 113      
13:50:40   | 119       | 117       | 118      
13:50:41   | 124       | 118       | 121      
13:50:42   | 129       | 128       | 128      
13:50:43   | 134       | 129       | 133      
13:50:44   | 138       | 133       | 137      
13:50:45   | 143       | 134       | 143      
13:50:46   | 148       | 138       | 146      
13:50:47   | 153       | 141       | 149      
13:50:48   | 158       | 142       | 152      
13:50:49   | 163       | 154       | 163      
13:50:50   | 168       |           | 167      
13:50:51   | 173       | 163       | 173      
13:50:52   | 178       | 164       | 178      
13:50:53   | 183       | 165       | 183      
13:50:54   | 187       | 169       | 186      
13:50:55   | 192       | 174       | 189      
13:50:56   | 197       | 179       | 191      
13:50:57   | 202       | 182       | 194      
13:50:58   | 207       | 189       | 205      
13:50:59   | 212       | 191       | 211      
13:51:00   | 217       | 200       | 216      
13:51:01   | 222       | 203       | 219      
13:51:02   | 227       | 207       | 225      
13:51:03   | 232       | 211       | 230      
13:51:04   | 237       | 216       | 233      
13:51:05   | 242       | 221       | 241      
13:51:06   | 246       | 222       | 244      
13:51:07   | 251       | 224       | 249      
13:51:08   | 256       | 229       | 252      
13:51:09   | 261       | 234       | 260      
13:51:10   | 266       | 240       | 263      
13:51:11   | 271       | 260       | 270      
13:51:12   | 276       | 262       | 275      
13:51:13   | 281       | 265       | 280      
13:51:14   | 285       | 266       | 283      
