Timestamp  | Machine 0 | Machine 1 | Machine 2
----------------------------------------------------
13:50:41   |           | 0         | 2        
13:50:42   |           |           | 2        
13:50:43   |           | 0         | 1        
13:50:44   |           | 0         | 3        
13:50:45   | 0         | 0         | 4        
13:50:46   |           | 0         | 4        
13:50:47   |           | 0         | 5        
13:50:48   | 0         | 0         | 4        
13:50:49   |           | 0         | 4        
13:50:50   | 0         | 0         | 5        
13:50:51   |           |           | 5        
13:50:52   |           | 0         | 7        
13:50:53   |           | 0         | 7        
13:50:54   |           | 1         | 9        
13:50:55   |           | 0         | 8        
13:50:56   | 0         |           | 8        
13:50:57   |           | 0         | 8        
13:50:58   |           |           | 9        
13:50:59   |           | 1         | 8        
13:51:00   |           | 1         | 8        
13:51:01   |           | 0         | 7        
13:51:02   |           | 2         | 8        
13:51:03   |           | 2         | 9        
13:51:04   |           | 1         | 10       
13:51:05   |           | 1         | 12       
13:51:06   |           | 1         | 11       
13:51:07   |           | 0         | 12       
13:51:08   |           |           | 11       
13:51:09   |           | 0         | 11       
13:51:10   |           | 0         | 10       
13:51:11   |           | 1         | 10       
13:51:12   |           | 1         | 10       
13:51:13   |           | 0         | 10       
13:51:14   |           | 2         | 10       
13:51:15   |           | 2         | 10       
13:51:16   |           | 1         | 10       
13:51:17   | 0         | 0         | 9        
13:51:18   |           |           | 8        
13:51:19   |           | 0         | 10       
13:51:20   | 0         | 0         | 10       
13:51:21   |           |           | 10       
13:51:22   |           |           | 10       
13:51:23   |           | 0         | 9        
13:51:24   |           | 1         | 12       
13:51:25   |           | 0         | 14       
13:51:26   |           | 0         | 13       
13:51:27   |           | 0         | 13       
13:51:28   |           |           | 12       
13:51:29   |           | 0         | 13       
13:51:30   |           |           | 12       
13:51:31   |           | 0         | 12       
13:51:32   |           | 0         | 12       
13:51:33   | 0         | 0         | 12       
13:51:34   |           | 0         | 13       
13:51:35   |           | 0         | 13       
13:51:36   |           | 0         | 13       
13:51:37   |           | 0         | 12       
13:51:38   |           | 0         |          
